Regions Code,Regions,Passports held (18 categories) Code,Passports held (18 categories),Economic activity status (7 categories) Code,Economic activity status (7 categories),Observation
E12000001,North East,4,Europe: Other Europe: Rest of Europe,3,Economically active and a full-time student: In employment,47
E12000001,North East,4,Europe: Other Europe: Rest of Europe,4,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,9
E12000001,North East,4,Europe: Other Europe: Rest of Europe,5,Economically inactive (excluding full-time students),571
E12000001,North East,4,Europe: Other Europe: Rest of Europe,6,Economically inactive and a full-time student,213
E12000001,North East,5,Africa: North Africa,-8,Does not apply,487
E12000001,North East,5,Africa: North Africa,1,Economically active (excluding full-time students): In employment,544
E12000001,North East,5,Africa: North Africa,2,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,103
E12000001,North East,5,Africa: North Africa,3,Economically active and a full-time student: In employment,37
E12000001,North East,5,Africa: North Africa,4,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,21
E12000001,North East,5,Africa: North Africa,5,Economically inactive (excluding full-time students),423
E12000001,North East,5,Africa: North Africa,6,Economically inactive and a full-time student,205
E12000001,North East,6,Africa: Central and Western Africa,-8,Does not apply,902
E12000001,North East,6,Africa: Central and Western Africa,1,Economically active (excluding full-time students): In employment,1778
E12000001,North East,6,Africa: Central and Western Africa,2,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,251
E12000001,North East,6,Africa: Central and Western Africa,3,Economically active and a full-time student: In employment,479
E12000001,North East,6,Africa: Central and Western Africa,4,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,303
E12000001,North East,6,Africa: Central and Western Africa,5,Economically inactive (excluding full-time students),443
E12000001,North East,6,Africa: Central and Western Africa,6,Economically inactive and a full-time student,484
E12000001,North East,7,Africa: South and Eastern Africa,-8,Does not apply,230
E12000001,North East,7,Africa: South and Eastern Africa,1,Economically active (excluding full-time students): In employment,1068
E12000001,North East,7,Africa: South and Eastern Africa,2,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,145
E12000001,North East,7,Africa: South and Eastern Africa,3,Economically active and a full-time student: In employment,73
E12000001,North East,7,Africa: South and Eastern Africa,4,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,31
E12000001,North East,7,Africa: South and Eastern Africa,5,Economically inactive (excluding full-time students),335
E12000001,North East,7,Africa: South and Eastern Africa,6,Economically inactive and a full-time student,178
E12000001,North East,8,Middle East and Asia: Middle East,-8,Does not apply,791
E12000001,North East,8,Middle East and Asia: Middle East,1,Economically active (excluding full-time students): In employment,518
E12000001,North East,8,Middle East and Asia: Middle East,2,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,175
E12000001,North East,8,Middle East and Asia: Middle East,3,Economically active and a full-time student: In employment,58
E12000001,North East,8,Middle East and Asia: Middle East,4,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,34
E12000001,North East,8,Middle East and Asia: Middle East,5,Economically inactive (excluding full-time students),792
E12000001,North East,8,Middle East and Asia: Middle East,6,Economically inactive and a full-time student,832
E12000001,North East,9,Middle East and Asia: Eastern Asia,-8,Does not apply,269
E12000001,North East,9,Middle East and Asia: Eastern Asia,1,Economically active (excluding full-time students): In employment,1465
E12000001,North East,9,Middle East and Asia: Eastern Asia,2,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,109
E12000001,North East,9,Middle East and Asia: Eastern Asia,3,Economically active and a full-time student: In employment,64
E12000001,North East,9,Middle East and Asia: Eastern Asia,4,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,45
E12000001,North East,9,Middle East and Asia: Eastern Asia,5,Economically inactive (excluding full-time students),575
E12000001,North East,9,Middle East and Asia: Eastern Asia,6,Economically inactive and a full-time student,750
E12000001,North East,10,Middle East and Asia: Southern Asia,-8,Does not apply,1513
E12000001,North East,10,Middle East and Asia: Southern Asia,1,Economically active (excluding full-time students): In employment,4487
E12000001,North East,10,Middle East and Asia: Southern Asia,2,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,417
E12000001,North East,10,Middle East and Asia: Southern Asia,3,Economically active and a full-time student: In employment,1005
E12000001,North East,10,Middle East and Asia: Southern Asia,4,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,683
E12000001,North East,10,Middle East and Asia: Southern Asia,5,Economically inactive (excluding full-time students),2857
E12000001,North East,10,Middle East and Asia: Southern Asia,6,Economically inactive and a full-time student,1475
E12000001,North East,11,Middle East and Asia: South-East Asia,-8,Does not apply,290
E12000001,North East,11,Middle East and Asia: South-East Asia,1,Economically active (excluding full-time students): In employment,2035
E12000001,North East,11,Middle East and Asia: South-East Asia,2,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,135
E12000001,North East,11,Middle East and Asia: South-East Asia,3,Economically active and a full-time student: In employment,79
E12000001,North East,11,Middle East and Asia: South-East Asia,4,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,55
E12000001,North East,11,Middle East and Asia: South-East Asia,5,Economically inactive (excluding full-time students),553
E12000001,North East,11,Middle East and Asia: South-East Asia,6,Economically inactive and a full-time student,392
E12000001,North East,12,Middle East and Asia: Central Asia,-8,Does not apply,9
E12000001,North East,12,Middle East and Asia: Central Asia,1,Economically active (excluding full-time students): In employment,19
E12000001,North East,12,Middle East and Asia: Central Asia,2,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,4
E12000001,North East,12,Middle East and Asia: Central Asia,3,Economically active and a full-time student: In employment,3
E12000001,North East,12,Middle East and Asia: Central Asia,4,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,2
E12000001,North East,12,Middle East and Asia: Central Asia,5,Economically inactive (excluding full-time students),14
E12000001,North East,12,Middle East and Asia: Central Asia,6,Economically inactive and a full-time student,8
E12000001,North East,13,The Americas and the Caribbean: North America,-8,Does not apply,263
E12000001,North East,13,The Americas and the Caribbean: North America,1,Economically active (excluding full-time students): In employment,1258
E12000001,North East,13,The Americas and the Caribbean: North America,2,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,84
E12000001,North East,13,The Americas and the Caribbean: North America,3,Economically active and a full-time student: In employment,69
E12000001,North East,13,The Americas and the Caribbean: North America,4,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,24
E12000001,North East,13,The Americas and the Caribbean: North America,5,Economically inactive (excluding full-time students),551
E12000001,North East,13,The Americas and the Caribbean: North America,6,Economically inactive and a full-time student,217
E12000001,North East,14,The Americas and the Caribbean: Central and South America,-8,Does not apply,162
E12000001,North East,14,The Americas and the Caribbean: Central and South America,1,Economically active (excluding full-time students): In employment,664
E12000001,North East,14,The Americas and the Caribbean: Central and South America,2,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,110
E12000001,North East,14,The Americas and the Caribbean: Central and South America,3,Economically active and a full-time student: In employment,52
E12000001,North East,14,The Americas and the Caribbean: Central and South America,4,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,28
E12000001,North East,14,The Americas and the Caribbean: Central and South America,5,Economically inactive (excluding full-time students),267
E12000001,North East,14,The Americas and the Caribbean: Central and South America,6,Economically inactive and a full-time student,241
E12000001,North East,15,"Antarctica and Oceania, including Australasia",-8,Does not apply,82
E12000001,North East,15,"Antarctica and Oceania, including Australasia",1,Economically active (excluding full-time students): In employment,537
E12000001,North East,15,"Antarctica and Oceania, including Australasia",2,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,22
E12000001,North East,15,"Antarctica and Oceania, including Australasia",3,Economically active and a full-time student: In employment,15
E12000001,North East,15,"Antarctica and Oceania, including Australasia",4,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,4
E12000001,North East,15,"Antarctica and Oceania, including Australasia",5,Economically inactive (excluding full-time students),175
E12000001,North East,15,"Antarctica and Oceania, including Australasia",6,Economically inactive and a full-time student,24
E12000001,North East,16,British Overseas Territories,-8,Does not apply,4
E12000001,North East,16,British Overseas Territories,1,Economically active (excluding full-time students): In employment,1
E12000001,North East,16,British Overseas Territories,2,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,0
E12000001,North East,16,British Overseas Territories,3,Economically active and a full-time student: In employment,0
E12000001,North East,16,British Overseas Territories,4,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,0
E12000001,North East,16,British Overseas Territories,5,Economically inactive (excluding full-time students),5
E12000001,North East,16,British Overseas Territories,6,Economically inactive and a full-time student,0
E12000001,North East,17,No passport held,-8,Does not apply,143716
E12000001,North East,17,No passport held,1,Economically active (excluding full-time students): In employment,81925
E12000001,North East,17,No passport held,2,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,15960
E12000001,North East,17,No passport held,3,Economically active and a full-time student: In employment,1421
E12000001,North East,17,No passport held,4,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,1128
E12000001,North East,17,No passport held,5,Economically inactive (excluding full-time students),208552
E12000001,North East,17,No passport held,6,Economically inactive and a full-time student,13877
E12000002,North West,-8,Does not apply,-8,Does not apply,0
E12000002,North West,-8,Does not apply,1,Economically active (excluding full-time students): In employment,0
E12000002,North West,-8,Does not apply,2,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,0
E12000002,North West,-8,Does not apply,3,Economically active and a full-time student: In employment,0
E12000002,North West,-8,Does not apply,4,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,0
E12000002,North West,-8,Does not apply,5,Economically inactive (excluding full-time students),0
E12000002,North West,-8,Does not apply,6,Economically inactive and a full-time student,0
E12000002,North West,1,Europe: United Kingdom,-8,Does not apply,969127
E12000002,North West,1,Europe: United Kingdom,1,Economically active (excluding full-time students): In employment,2804706
E12000002,North West,1,Europe: United Kingdom,2,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,119908
E12000002,North West,1,Europe: United Kingdom,3,Economically active and a full-time student: In employment,80771
E12000002,North West,1,Europe: United Kingdom,4,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,24838
E12000002,North West,1,Europe: United Kingdom,5,Economically inactive (excluding full-time students),1562471
E12000002,North West,1,Europe: United Kingdom,6,Economically inactive and a full-time student,232498
E12000002,North West,2,Europe: Ireland,-8,Does not apply,3538
E12000002,North West,2,Europe: Ireland,1,Economically active (excluding full-time students): In employment,19219
E12000002,North West,2,Europe: Ireland,2,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,800
E12000002,North West,2,Europe: Ireland,3,Economically active and a full-time student: In employment,821
E12000002,North West,2,Europe: Ireland,4,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,283
E12000002,North West,2,Europe: Ireland,5,Economically inactive (excluding full-time students),14052
E12000002,North West,2,Europe: Ireland,6,Economically inactive and a full-time student,2161
E12000002,North West,3,Europe: Other Europe: EU Member countries,-8,Does not apply,62352
E12000002,North West,3,Europe: Other Europe: EU Member countries,1,Economically active (excluding full-time students): In employment,160888
E12000002,North West,3,Europe: Other Europe: EU Member countries,2,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,10240
E12000002,North West,3,Europe: Other Europe: EU Member countries,3,Economically active and a full-time student: In employment,7020
E12000002,North West,3,Europe: Other Europe: EU Member countries,4,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,2240
E12000002,North West,3,Europe: Other Europe: EU Member countries,5,Economically inactive (excluding full-time students),32343
E12000002,North West,3,Europe: Other Europe: EU Member countries,6,Economically inactive and a full-time student,16486
E12000002,North West,4,Europe: Other Europe: Rest of Europe,-8,Does not apply,1514
E12000002,North West,4,Europe: Other Europe: Rest of Europe,1,Economically active (excluding full-time students): In employment,4559
E12000002,North West,4,Europe: Other Europe: Rest of Europe,2,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,428
E12000002,North West,4,Europe: Other Europe: Rest of Europe,3,Economically active and a full-time student: In employment,189
E12000002,North West,4,Europe: Other Europe: Rest of Europe,4,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,92
E12000002,North West,4,Europe: Other Europe: Rest of Europe,5,Economically inactive (excluding full-time students),2047
E12000002,North West,4,Europe: Other Europe: Rest of Europe,6,Economically inactive and a full-time student,690
E12000002,North West,5,Africa: North Africa,-8,Does not apply,1874
E12000002,North West,5,Africa: North Africa,1,Economically active (excluding full-time students): In employment,2101
E12000002,North West,5,Africa: North Africa,2,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,510
E12000002,North West,5,Africa: North Africa,3,Economically active and a full-time student: In employment,95
E12000002,North West,5,Africa: North Africa,4,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,88
E12000002,North West,5,Africa: North Africa,5,Economically inactive (excluding full-time students),1780
E12000002,North West,5,Africa: North Africa,6,Economically inactive and a full-time student,847
E12000002,North West,6,Africa: Central and Western Africa,-8,Does not apply,2762
E12000002,North West,6,Africa: Central and Western Africa,1,Economically active (excluding full-time students): In employment,9237
E12000002,North West,6,Africa: Central and Western Africa,2,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,1046
E12000002,North West,6,Africa: Central and Western Africa,3,Economically active and a full-time student: In employment,1148
E12000002,North West,6,Africa: Central and Western Africa,4,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,487
E12000002,North West,6,Africa: Central and Western Africa,5,Economically inactive (excluding full-time students),2671
E12000002,North West,6,Africa: Central and Western Africa,6,Economically inactive and a full-time student,1660
E12000002,North West,7,Africa: South and Eastern Africa,-8,Does not apply,845
E12000002,North West,7,Africa: South and Eastern Africa,1,Economically active (excluding full-time students): In employment,4693
E12000002,North West,7,Africa: South and Eastern Africa,2,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,466
E12000002,North West,7,Africa: South and Eastern Africa,3,Economically active and a full-time student: In employment,254
E12000002,North West,7,Africa: South and Eastern Africa,4,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,101
E12000002,North West,7,Africa: South and Eastern Africa,5,Economically inactive (excluding full-time students),1399
E12000002,North West,7,Africa: South and Eastern Africa,6,Economically inactive and a full-time student,693
E12000002,North West,8,Middle East and Asia: Middle East,-8,Does not apply,2449
E12000002,North West,8,Middle East and Asia: Middle East,1,Economically active (excluding full-time students): In employment,1814
E12000002,North West,8,Middle East and Asia: Middle East,2,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,426
E12000002,North West,8,Middle East and Asia: Middle East,3,Economically active and a full-time student: In employment,168
E12000002,North West,8,Middle East and Asia: Middle East,4,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,124
E12000002,North West,8,Middle East and Asia: Middle East,5,Economically inactive (excluding full-time students),2596
E12000002,North West,8,Middle East and Asia: Middle East,6,Economically inactive and a full-time student,3072
E12000002,North West,9,Middle East and Asia: Eastern Asia,-8,Does not apply,1779
E12000002,North West,9,Middle East and Asia: Eastern Asia,1,Economically active (excluding full-time students): In employment,5359
E12000002,North West,9,Middle East and Asia: Eastern Asia,2,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,378
E12000002,North West,9,Middle East and Asia: Eastern Asia,3,Economically active and a full-time student: In employment,204
E12000002,North West,9,Middle East and Asia: Eastern Asia,4,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,74
E12000002,North West,9,Middle East and Asia: Eastern Asia,5,Economically inactive (excluding full-time students),2521
E12000002,North West,9,Middle East and Asia: Eastern Asia,6,Economically inactive and a full-time student,2063
E12000002,North West,10,Middle East and Asia: Southern Asia,-8,Does not apply,9993
E12000002,North West,10,Middle East and Asia: Southern Asia,1,Economically active (excluding full-time students): In employment,25329
E12000002,North West,10,Middle East and Asia: Southern Asia,2,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,2708
E12000002,North West,10,Middle East and Asia: Southern Asia,3,Economically active and a full-time student: In employment,1691
E12000002,North West,10,Middle East and Asia: Southern Asia,4,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,973
E12000002,North West,10,Middle East and Asia: Southern Asia,5,Economically inactive (excluding full-time students),23672
E12000002,North West,10,Middle East and Asia: Southern Asia,6,Economically inactive and a full-time student,4120
E12000002,North West,11,Middle East and Asia: South-East Asia,-8,Does not apply,693
E12000002,North West,11,Middle East and Asia: South-East Asia,1,Economically active (excluding full-time students): In employment,5258
E12000002,North West,11,Middle East and Asia: South-East Asia,2,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,301
E12000002,North West,11,Middle East and Asia: South-East Asia,3,Economically active and a full-time student: In employment,138
E12000002,North West,11,Middle East and Asia: South-East Asia,4,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,64
E12000002,North West,11,Middle East and Asia: South-East Asia,5,Economically inactive (excluding full-time students),1707
E12000002,North West,11,Middle East and Asia: South-East Asia,6,Economically inactive and a full-time student,1000
E12000002,North West,12,Middle East and Asia: Central Asia,-8,Does not apply,8
E12000002,North West,12,Middle East and Asia: Central Asia,1,Economically active (excluding full-time students): In employment,62
E12000002,North West,12,Middle East and Asia: Central Asia,2,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,12
E12000002,North West,12,Middle East and Asia: Central Asia,3,Economically active and a full-time student: In employment,2
E12000002,North West,12,Middle East and Asia: Central Asia,4,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,1
E12000002,North West,12,Middle East and Asia: Central Asia,5,Economically inactive (excluding full-time students),37
E12000002,North West,12,Middle East and Asia: Central Asia,6,Economically inactive and a full-time student,30
E12000002,North West,13,The Americas and the Caribbean: North America,-8,Does not apply,918
E12000002,North West,13,The Americas and the Caribbean: North America,1,Economically active (excluding full-time students): In employment,3959
E12000002,North West,13,The Americas and the Caribbean: North America,2,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,264
E12000002,North West,13,The Americas and the Caribbean: North America,3,Economically active and a full-time student: In employment,126
E12000002,North West,13,The Americas and the Caribbean: North America,4,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,57
E12000002,North West,13,The Americas and the Caribbean: North America,5,Economically inactive (excluding full-time students),1970
E12000002,North West,13,The Americas and the Caribbean: North America,6,Economically inactive and a full-time student,563
E12000002,North West,14,The Americas and the Caribbean: Central and South America,-8,Does not apply,1106
E12000002,North West,14,The Americas and the Caribbean: Central and South America,1,Economically active (excluding full-time students): In employment,4679
E12000002,North West,14,The Americas and the Caribbean: Central and South America,2,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,683
E12000002,North West,14,The Americas and the Caribbean: Central and South America,3,Economically active and a full-time student: In employment,170
E12000002,North West,14,The Americas and the Caribbean: Central and South America,4,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,120
E12000002,North West,14,The Americas and the Caribbean: Central and South America,5,Economically inactive (excluding full-time students),1590
E12000002,North West,14,The Americas and the Caribbean: Central and South America,6,Economically inactive and a full-time student,659
E12000002,North West,15,"Antarctica and Oceania, including Australasia",-8,Does not apply,251
E12000002,North West,15,"Antarctica and Oceania, including Australasia",1,Economically active (excluding full-time students): In employment,2176
E12000002,North West,15,"Antarctica and Oceania, including Australasia",2,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,102
E12000002,North West,15,"Antarctica and Oceania, including Australasia",3,Economically active and a full-time student: In employment,24
E12000002,North West,15,"Antarctica and Oceania, including Australasia",4,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,9
E12000002,North West,15,"Antarctica and Oceania, including Australasia",5,Economically inactive (excluding full-time students),571
E12000002,North West,15,"Antarctica and Oceania, including Australasia",6,Economically inactive and a full-time student,65
E12000002,North West,16,British Overseas Territories,-8,Does not apply,42
E12000002,North West,16,British Overseas Territories,1,Economically active (excluding full-time students): In employment,35
E12000002,North West,16,British Overseas Territories,2,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,11
E12000002,North West,16,British Overseas Territories,3,Economically active and a full-time student: In employment,1
E12000002,North West,16,British Overseas Territories,4,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,1
E12000002,North West,16,British Overseas Territories,5,Economically inactive (excluding full-time students),23
E12000002,North West,16,British Overseas Territories,6,Economically inactive and a full-time student,14
E12000002,North West,17,No passport held,-8,Does not apply,330289
E12000002,North West,17,No passport held,1,Economically active (excluding full-time students): In employment,177236
E12000002,North West,17,No passport held,2,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,27583
E12000002,North West,17,No passport held,3,Economically active and a full-time student: In employment,3622
E12000002,North West,17,No passport held,4,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,2288
E12000002,North West,17,No passport held,5,Economically inactive (excluding full-time students),429452
E12000002,North West,17,No passport held,6,Economically inactive and a full-time student,28028
E12000003,Yorkshire and The Humber,-8,Does not apply,-8,Does not apply,0
E12000003,Yorkshire and The Humber,-8,Does not apply,1,Economically active (excluding full-time students): In employment,0
E12000003,Yorkshire and The Humber,-8,Does not apply,2,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,0
E12000003,Yorkshire and The Humber,-8,Does not apply,3,Economically active and a full-time student: In employment,0
E12000003,Yorkshire and The Humber,-8,Does not apply,4,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,0
E12000003,Yorkshire and The Humber,-8,Does not apply,5,Economically inactive (excluding full-time students),0
E12000003,Yorkshire and The Humber,-8,Does not apply,6,Economically inactive and a full-time student,0
E12000003,Yorkshire and The Humber,1,Europe: United Kingdom,-8,Does not apply,690845
E12000003,Yorkshire and The Humber,1,Europe: United Kingdom,1,Economically active (excluding full-time students): In employment,2039186
E12000003,Yorkshire and The Humber,1,Europe: United Kingdom,2,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,84179
E12000003,Yorkshire and The Humber,1,Europe: United Kingdom,3,Economically active and a full-time student: In employment,59580
E12000003,Yorkshire and The Humber,1,Europe: United Kingdom,4,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,18981
E12000003,Yorkshire and The Humber,1,Europe: United Kingdom,5,Economically inactive (excluding full-time students),1129399
E12000003,Yorkshire and The Humber,1,Europe: United Kingdom,6,Economically inactive and a full-time student,175075
E12000003,Yorkshire and The Humber,2,Europe: Ireland,-8,Does not apply,1097
E12000003,Yorkshire and The Humber,2,Europe: Ireland,1,Economically active (excluding full-time students): In employment,7652
