Regions Code,Regions,Passports held (18 categories) Code,Passports held (18 categories),Disability (3 categories) Code,Disability (3 categories),National Statistics Socio-economic Classification (NS-SeC) (10 categories) Code,National Statistics Socio-economic Classification (NS-SeC) (10 categories),Observation
E12000001,North East,-8,Does not apply,2,Not disabled under the Equality Act,2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",0
E12000001,North East,-8,Does not apply,2,Not disabled under the Equality Act,3,L7: Intermediate occupations,0
E12000001,North East,-8,Does not apply,2,Not disabled under the Equality Act,4,L8 and L9: Small employers and own account workers,0
E12000001,North East,-8,Does not apply,2,Not disabled under the Equality Act,5,L10 and L11: Lower supervisory and technical occupations,0
E12000001,North East,-8,Does not apply,2,Not disabled under the Equality Act,6,L12: Semi-routine occupations,0
E12000001,North East,-8,Does not apply,2,Not disabled under the Equality Act,7,L13: Routine occupations,0
E12000001,North East,-8,Does not apply,2,Not disabled under the Equality Act,8,L14.1 and L14.2: Never worked and long-term unemployed,0
E12000001,North East,-8,Does not apply,2,Not disabled under the Equality Act,9,L15: Full-time students,0
E12000001,North East,1,Europe: United Kingdom,-8,Does not apply,-8,Does not apply,0
E12000001,North East,1,Europe: United Kingdom,-8,Does not apply,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",0
E12000001,North East,1,Europe: United Kingdom,-8,Does not apply,2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",0
E12000001,North East,1,Europe: United Kingdom,-8,Does not apply,3,L7: Intermediate occupations,0
E12000001,North East,1,Europe: United Kingdom,-8,Does not apply,4,L8 and L9: Small employers and own account workers,0
E12000001,North East,1,Europe: United Kingdom,-8,Does not apply,5,L10 and L11: Lower supervisory and technical occupations,0
E12000001,North East,1,Europe: United Kingdom,-8,Does not apply,6,L12: Semi-routine occupations,0
E12000001,North East,1,Europe: United Kingdom,-8,Does not apply,7,L13: Routine occupations,0
E12000001,North East,1,Europe: United Kingdom,-8,Does not apply,8,L14.1 and L14.2: Never worked and long-term unemployed,0
E12000001,North East,1,Europe: United Kingdom,-8,Does not apply,9,L15: Full-time students,0
E12000001,North East,1,Europe: United Kingdom,1,Disabled under the Equality Act,-8,Does not apply,22058
E12000001,North East,1,Europe: United Kingdom,1,Disabled under the Equality Act,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",25168
E12000001,North East,1,Europe: United Kingdom,1,Disabled under the Equality Act,2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",58885
E12000001,North East,1,Europe: United Kingdom,1,Disabled under the Equality Act,3,L7: Intermediate occupations,42828
E12000001,North East,1,Europe: United Kingdom,1,Disabled under the Equality Act,4,L8 and L9: Small employers and own account workers,27191
E12000001,North East,1,Europe: United Kingdom,1,Disabled under the Equality Act,5,L10 and L11: Lower supervisory and technical occupations,21668
E12000001,North East,1,Europe: United Kingdom,1,Disabled under the Equality Act,6,L12: Semi-routine occupations,53640
E12000001,North East,1,Europe: United Kingdom,1,Disabled under the Equality Act,7,L13: Routine occupations,54312
E12000001,North East,1,Europe: United Kingdom,1,Disabled under the Equality Act,8,L14.1 and L14.2: Never worked and long-term unemployed,61647
E12000001,North East,1,Europe: United Kingdom,1,Disabled under the Equality Act,9,L15: Full-time students,15780
E12000001,North East,1,Europe: United Kingdom,2,Not disabled under the Equality Act,-8,Does not apply,286619
E12000001,North East,1,Europe: United Kingdom,2,Not disabled under the Equality Act,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",166007
E12000001,North East,1,Europe: United Kingdom,2,Not disabled under the Equality Act,2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",294294
E12000001,North East,1,Europe: United Kingdom,2,Not disabled under the Equality Act,3,L7: Intermediate occupations,180348
E12000001,North East,1,Europe: United Kingdom,2,Not disabled under the Equality Act,4,L8 and L9: Small employers and own account workers,116586
E12000001,North East,1,Europe: United Kingdom,2,Not disabled under the Equality Act,5,L10 and L11: Lower supervisory and technical occupations,88073
E12000001,North East,1,Europe: United Kingdom,2,Not disabled under the Equality Act,6,L12: Semi-routine occupations,171768
E12000001,North East,1,Europe: United Kingdom,2,Not disabled under the Equality Act,7,L13: Routine occupations,163076
E12000001,North East,1,Europe: United Kingdom,2,Not disabled under the Equality Act,8,L14.1 and L14.2: Never worked and long-term unemployed,85908
E12000001,North East,1,Europe: United Kingdom,2,Not disabled under the Equality Act,9,L15: Full-time students,100744
E12000001,North East,2,Europe: Ireland,-8,Does not apply,-8,Does not apply,0
E12000001,North East,2,Europe: Ireland,-8,Does not apply,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",0
E12000001,North East,2,Europe: Ireland,-8,Does not apply,2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",0
E12000001,North East,2,Europe: Ireland,-8,Does not apply,3,L7: Intermediate occupations,0
E12000001,North East,2,Europe: Ireland,-8,Does not apply,4,L8 and L9: Small employers and own account workers,0
E12000001,North East,2,Europe: Ireland,-8,Does not apply,5,L10 and L11: Lower supervisory and technical occupations,0
E12000001,North East,2,Europe: Ireland,-8,Does not apply,6,L12: Semi-routine occupations,0
E12000001,North East,2,Europe: Ireland,-8,Does not apply,7,L13: Routine occupations,0
E12000001,North East,2,Europe: Ireland,-8,Does not apply,8,L14.1 and L14.2: Never worked and long-term unemployed,0
E12000001,North East,2,Europe: Ireland,-8,Does not apply,9,L15: Full-time students,0
E12000001,North East,2,Europe: Ireland,1,Disabled under the Equality Act,-8,Does not apply,39
E12000001,North East,2,Europe: Ireland,1,Disabled under the Equality Act,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",118
E12000001,North East,2,Europe: Ireland,1,Disabled under the Equality Act,2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",179
E12000001,North East,2,Europe: Ireland,1,Disabled under the Equality Act,3,L7: Intermediate occupations,92
E12000001,North East,2,Europe: Ireland,1,Disabled under the Equality Act,4,L8 and L9: Small employers and own account workers,107
E12000001,North East,2,Europe: Ireland,1,Disabled under the Equality Act,5,L10 and L11: Lower supervisory and technical occupations,35
E12000001,North East,2,Europe: Ireland,1,Disabled under the Equality Act,6,L12: Semi-routine occupations,106
E12000001,North East,2,Europe: Ireland,1,Disabled under the Equality Act,7,L13: Routine occupations,114
E12000001,North East,2,Europe: Ireland,1,Disabled under the Equality Act,8,L14.1 and L14.2: Never worked and long-term unemployed,127
E12000001,North East,2,Europe: Ireland,1,Disabled under the Equality Act,9,L15: Full-time students,56
E12000001,North East,2,Europe: Ireland,2,Not disabled under the Equality Act,-8,Does not apply,451
E12000001,North East,2,Europe: Ireland,2,Not disabled under the Equality Act,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",951
E12000001,North East,2,Europe: Ireland,2,Not disabled under the Equality Act,2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",1216
E12000001,North East,2,Europe: Ireland,2,Not disabled under the Equality Act,3,L7: Intermediate occupations,357
E12000001,North East,2,Europe: Ireland,2,Not disabled under the Equality Act,4,L8 and L9: Small employers and own account workers,291
E12000001,North East,2,Europe: Ireland,2,Not disabled under the Equality Act,5,L10 and L11: Lower supervisory and technical occupations,135
E12000001,North East,2,Europe: Ireland,2,Not disabled under the Equality Act,6,L12: Semi-routine occupations,296
E12000001,North East,2,Europe: Ireland,2,Not disabled under the Equality Act,7,L13: Routine occupations,275
E12000001,North East,2,Europe: Ireland,2,Not disabled under the Equality Act,8,L14.1 and L14.2: Never worked and long-term unemployed,202
E12000001,North East,2,Europe: Ireland,2,Not disabled under the Equality Act,9,L15: Full-time students,528
E12000001,North East,3,Europe: Other Europe: EU Member countries,-8,Does not apply,-8,Does not apply,0
E12000001,North East,3,Europe: Other Europe: EU Member countries,-8,Does not apply,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",0
E12000001,North East,3,Europe: Other Europe: EU Member countries,-8,Does not apply,2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",0
E12000001,North East,3,Europe: Other Europe: EU Member countries,-8,Does not apply,3,L7: Intermediate occupations,0
E12000001,North East,3,Europe: Other Europe: EU Member countries,-8,Does not apply,4,L8 and L9: Small employers and own account workers,0
E12000001,North East,3,Europe: Other Europe: EU Member countries,-8,Does not apply,5,L10 and L11: Lower supervisory and technical occupations,0
E12000001,North East,3,Europe: Other Europe: EU Member countries,-8,Does not apply,6,L12: Semi-routine occupations,0
E12000001,North East,3,Europe: Other Europe: EU Member countries,-8,Does not apply,7,L13: Routine occupations,0
E12000001,North East,3,Europe: Other Europe: EU Member countries,-8,Does not apply,8,L14.1 and L14.2: Never worked and long-term unemployed,0
E12000001,North East,3,Europe: Other Europe: EU Member countries,-8,Does not apply,9,L15: Full-time students,0
E12000001,North East,3,Europe: Other Europe: EU Member countries,1,Disabled under the Equality Act,-8,Does not apply,360
E12000001,North East,3,Europe: Other Europe: EU Member countries,1,Disabled under the Equality Act,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",260
E12000001,North East,3,Europe: Other Europe: EU Member countries,1,Disabled under the Equality Act,2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",383
E12000001,North East,3,Europe: Other Europe: EU Member countries,1,Disabled under the Equality Act,3,L7: Intermediate occupations,248
E12000001,North East,3,Europe: Other Europe: EU Member countries,1,Disabled under the Equality Act,4,L8 and L9: Small employers and own account workers,297
E12000001,North East,3,Europe: Other Europe: EU Member countries,1,Disabled under the Equality Act,5,L10 and L11: Lower supervisory and technical occupations,176
E12000001,North East,3,Europe: Other Europe: EU Member countries,1,Disabled under the Equality Act,6,L12: Semi-routine occupations,362
E12000001,North East,3,Europe: Other Europe: EU Member countries,1,Disabled under the Equality Act,7,L13: Routine occupations,805
E12000001,North East,3,Europe: Other Europe: EU Member countries,1,Disabled under the Equality Act,8,L14.1 and L14.2: Never worked and long-term unemployed,528
E12000001,North East,3,Europe: Other Europe: EU Member countries,1,Disabled under the Equality Act,9,L15: Full-time students,300
E12000001,North East,3,Europe: Other Europe: EU Member countries,2,Not disabled under the Equality Act,-8,Does not apply,9103
E12000001,North East,3,Europe: Other Europe: EU Member countries,2,Not disabled under the Equality Act,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",3683
E12000001,North East,3,Europe: Other Europe: EU Member countries,2,Not disabled under the Equality Act,2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",4231
E12000001,North East,3,Europe: Other Europe: EU Member countries,2,Not disabled under the Equality Act,3,L7: Intermediate occupations,2287
E12000001,North East,3,Europe: Other Europe: EU Member countries,2,Not disabled under the Equality Act,4,L8 and L9: Small employers and own account workers,3504
E12000001,North East,3,Europe: Other Europe: EU Member countries,2,Not disabled under the Equality Act,5,L10 and L11: Lower supervisory and technical occupations,2475
E12000001,North East,3,Europe: Other Europe: EU Member countries,2,Not disabled under the Equality Act,6,L12: Semi-routine occupations,3468
E12000001,North East,3,Europe: Other Europe: EU Member countries,2,Not disabled under the Equality Act,7,L13: Routine occupations,8307
E12000001,North East,3,Europe: Other Europe: EU Member countries,2,Not disabled under the Equality Act,8,L14.1 and L14.2: Never worked and long-term unemployed,2678
E12000001,North East,3,Europe: Other Europe: EU Member countries,2,Not disabled under the Equality Act,9,L15: Full-time students,4251
E12000001,North East,4,Europe: Other Europe: Rest of Europe,-8,Does not apply,-8,Does not apply,0
E12000001,North East,4,Europe: Other Europe: Rest of Europe,-8,Does not apply,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",0
E12000001,North East,4,Europe: Other Europe: Rest of Europe,-8,Does not apply,2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",0
E12000001,North East,4,Europe: Other Europe: Rest of Europe,-8,Does not apply,3,L7: Intermediate occupations,0
E12000001,North East,4,Europe: Other Europe: Rest of Europe,-8,Does not apply,4,L8 and L9: Small employers and own account workers,0
E12000001,North East,4,Europe: Other Europe: Rest of Europe,-8,Does not apply,5,L10 and L11: Lower supervisory and technical occupations,0
E12000001,North East,4,Europe: Other Europe: Rest of Europe,-8,Does not apply,6,L12: Semi-routine occupations,0
E12000001,North East,4,Europe: Other Europe: Rest of Europe,-8,Does not apply,7,L13: Routine occupations,0
E12000001,North East,4,Europe: Other Europe: Rest of Europe,-8,Does not apply,8,L14.1 and L14.2: Never worked and long-term unemployed,0
E12000001,North East,4,Europe: Other Europe: Rest of Europe,-8,Does not apply,9,L15: Full-time students,0
E12000001,North East,4,Europe: Other Europe: Rest of Europe,1,Disabled under the Equality Act,-8,Does not apply,10
E12000001,North East,4,Europe: Other Europe: Rest of Europe,1,Disabled under the Equality Act,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",25
E12000001,North East,4,Europe: Other Europe: Rest of Europe,1,Disabled under the Equality Act,2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",25
E12000001,North East,4,Europe: Other Europe: Rest of Europe,1,Disabled under the Equality Act,3,L7: Intermediate occupations,9
E12000001,North East,4,Europe: Other Europe: Rest of Europe,1,Disabled under the Equality Act,4,L8 and L9: Small employers and own account workers,17
E12000001,North East,4,Europe: Other Europe: Rest of Europe,1,Disabled under the Equality Act,5,L10 and L11: Lower supervisory and technical occupations,4
E12000001,North East,4,Europe: Other Europe: Rest of Europe,1,Disabled under the Equality Act,6,L12: Semi-routine occupations,27
E12000001,North East,4,Europe: Other Europe: Rest of Europe,1,Disabled under the Equality Act,7,L13: Routine occupations,29
E12000001,North East,4,Europe: Other Europe: Rest of Europe,1,Disabled under the Equality Act,8,L14.1 and L14.2: Never worked and long-term unemployed,37
E12000001,North East,4,Europe: Other Europe: Rest of Europe,1,Disabled under the Equality Act,9,L15: Full-time students,19
E12000001,North East,4,Europe: Other Europe: Rest of Europe,2,Not disabled under the Equality Act,-8,Does not apply,313
E12000001,North East,4,Europe: Other Europe: Rest of Europe,2,Not disabled under the Equality Act,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",253
E12000001,North East,4,Europe: Other Europe: Rest of Europe,2,Not disabled under the Equality Act,2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",276
E12000001,North East,4,Europe: Other Europe: Rest of Europe,2,Not disabled under the Equality Act,3,L7: Intermediate occupations,110
E12000001,North East,4,Europe: Other Europe: Rest of Europe,2,Not disabled under the Equality Act,4,L8 and L9: Small employers and own account workers,224
E12000001,North East,4,Europe: Other Europe: Rest of Europe,2,Not disabled under the Equality Act,5,L10 and L11: Lower supervisory and technical occupations,119
E12000001,North East,4,Europe: Other Europe: Rest of Europe,2,Not disabled under the Equality Act,6,L12: Semi-routine occupations,122
E12000001,North East,4,Europe: Other Europe: Rest of Europe,2,Not disabled under the Equality Act,7,L13: Routine occupations,227
E12000001,North East,4,Europe: Other Europe: Rest of Europe,2,Not disabled under the Equality Act,8,L14.1 and L14.2: Never worked and long-term unemployed,300
E12000001,North East,4,Europe: Other Europe: Rest of Europe,2,Not disabled under the Equality Act,9,L15: Full-time students,225
E12000001,North East,5,Africa: North Africa,-8,Does not apply,-8,Does not apply,0
E12000001,North East,5,Africa: North Africa,-8,Does not apply,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",0
E12000001,North East,5,Africa: North Africa,-8,Does not apply,2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",0
E12000001,North East,5,Africa: North Africa,-8,Does not apply,3,L7: Intermediate occupations,0
E12000001,North East,5,Africa: North Africa,-8,Does not apply,4,L8 and L9: Small employers and own account workers,0
E12000001,North East,5,Africa: North Africa,-8,Does not apply,5,L10 and L11: Lower supervisory and technical occupations,0
E12000001,North East,5,Africa: North Africa,-8,Does not apply,6,L12: Semi-routine occupations,0
E12000001,North East,5,Africa: North Africa,-8,Does not apply,7,L13: Routine occupations,0
E12000001,North East,5,Africa: North Africa,-8,Does not apply,8,L14.1 and L14.2: Never worked and long-term unemployed,0
E12000001,North East,5,Africa: North Africa,-8,Does not apply,9,L15: Full-time students,0
E12000001,North East,5,Africa: North Africa,1,Disabled under the Equality Act,-8,Does not apply,28
E12000001,North East,5,Africa: North Africa,1,Disabled under the Equality Act,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",10
E12000001,North East,5,Africa: North Africa,1,Disabled under the Equality Act,2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",4
E12000001,North East,5,Africa: North Africa,1,Disabled under the Equality Act,3,L7: Intermediate occupations,5
E12000001,North East,5,Africa: North Africa,1,Disabled under the Equality Act,4,L8 and L9: Small employers and own account workers,9
E12000001,North East,5,Africa: North Africa,1,Disabled under the Equality Act,5,L10 and L11: Lower supervisory and technical occupations,1
E12000001,North East,5,Africa: North Africa,1,Disabled under the Equality Act,6,L12: Semi-routine occupations,2
E12000001,North East,5,Africa: North Africa,1,Disabled under the Equality Act,7,L13: Routine occupations,4
E12000001,North East,5,Africa: North Africa,1,Disabled under the Equality Act,8,L14.1 and L14.2: Never worked and long-term unemployed,41
E12000001,North East,5,Africa: North Africa,1,Disabled under the Equality Act,9,L15: Full-time students,16
E12000001,North East,5,Africa: North Africa,2,Not disabled under the Equality Act,-8,Does not apply,459
E12000001,North East,5,Africa: North Africa,2,Not disabled under the Equality Act,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",304
E12000001,North East,5,Africa: North Africa,2,Not disabled under the Equality Act,2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",93
E12000001,North East,5,Africa: North Africa,2,Not disabled under the Equality Act,3,L7: Intermediate occupations,61
E12000001,North East,5,Africa: North Africa,2,Not disabled under the Equality Act,4,L8 and L9: Small employers and own account workers,43
E12000001,North East,5,Africa: North Africa,2,Not disabled under the Equality Act,5,L10 and L11: Lower supervisory and technical occupations,30
E12000001,North East,5,Africa: North Africa,2,Not disabled under the Equality Act,6,L12: Semi-routine occupations,60
E12000001,North East,5,Africa: North Africa,2,Not disabled under the Equality Act,7,L13: Routine occupations,95
E12000001,North East,5,Africa: North Africa,2,Not disabled under the Equality Act,8,L14.1 and L14.2: Never worked and long-term unemployed,360
E12000001,North East,5,Africa: North Africa,2,Not disabled under the Equality Act,9,L15: Full-time students,195
E12000001,North East,6,Africa: Central and Western Africa,-8,Does not apply,-8,Does not apply,0
E12000001,North East,6,Africa: Central and Western Africa,-8,Does not apply,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",0
E12000001,North East,6,Africa: Central and Western Africa,-8,Does not apply,2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",0
E12000001,North East,6,Africa: Central and Western Africa,-8,Does not apply,3,L7: Intermediate occupations,0
E12000001,North East,6,Africa: Central and Western Africa,-8,Does not apply,4,L8 and L9: Small employers and own account workers,0
E12000001,North East,6,Africa: Central and Western Africa,-8,Does not apply,5,L10 and L11: Lower supervisory and technical occupations,0
E12000001,North East,6,Africa: Central and Western Africa,-8,Does not apply,6,L12: Semi-routine occupations,0
E12000001,North East,6,Africa: Central and Western Africa,-8,Does not apply,7,L13: Routine occupations,0
E12000001,North East,6,Africa: Central and Western Africa,-8,Does not apply,8,L14.1 and L14.2: Never worked and long-term unemployed,0
E12000001,North East,6,Africa: Central and Western Africa,-8,Does not apply,9,L15: Full-time students,0
E12000001,North East,6,Africa: Central and Western Africa,1,Disabled under the Equality Act,-8,Does not apply,13
E12000001,North East,6,Africa: Central and Western Africa,1,Disabled under the Equality Act,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",8
E12000001,North East,6,Africa: Central and Western Africa,1,Disabled under the Equality Act,2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",13
E12000001,North East,6,Africa: Central and Western Africa,1,Disabled under the Equality Act,3,L7: Intermediate occupations,8
E12000001,North East,6,Africa: Central and Western Africa,1,Disabled under the Equality Act,4,L8 and L9: Small employers and own account workers,10
E12000001,North East,6,Africa: Central and Western Africa,1,Disabled under the Equality Act,5,L10 and L11: Lower supervisory and technical occupations,2
E12000001,North East,6,Africa: Central and Western Africa,1,Disabled under the Equality Act,6,L12: Semi-routine occupations,17
E12000001,North East,6,Africa: Central and Western Africa,1,Disabled under the Equality Act,7,L13: Routine occupations,9
E12000001,North East,6,Africa: Central and Western Africa,1,Disabled under the Equality Act,8,L14.1 and L14.2: Never worked and long-term unemployed,15
E12000001,North East,6,Africa: Central and Western Africa,1,Disabled under the Equality Act,9,L15: Full-time students,14
E12000001,North East,6,Africa: Central and Western Africa,2,Not disabled under the Equality Act,-8,Does not apply,889
E12000001,North East,6,Africa: Central and Western Africa,2,Not disabled under the Equality Act,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",451
E12000001,North East,6,Africa: Central and Western Africa,2,Not disabled under the Equality Act,2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",325
E12000001,North East,6,Africa: Central and Western Africa,2,Not disabled under the Equality Act,3,L7: Intermediate occupations,263
E12000001,North East,6,Africa: Central and Western Africa,2,Not disabled under the Equality Act,4,L8 and L9: Small employers and own account workers,148
E12000001,North East,6,Africa: Central and Western Africa,2,Not disabled under the Equality Act,5,L10 and L11: Lower supervisory and technical occupations,47
E12000001,North East,6,Africa: Central and Western Africa,2,Not disabled under the Equality Act,6,L12: Semi-routine occupations,532
E12000001,North East,6,Africa: Central and Western Africa,2,Not disabled under the Equality Act,7,L13: Routine occupations,313
E12000001,North East,6,Africa: Central and Western Africa,2,Not disabled under the Equality Act,8,L14.1 and L14.2: Never worked and long-term unemployed,353
E12000001,North East,6,Africa: Central and Western Africa,2,Not disabled under the Equality Act,9,L15: Full-time students,1211
E12000001,North East,7,Africa: South and Eastern Africa,-8,Does not apply,-8,Does not apply,0
E12000001,North East,7,Africa: South and Eastern Africa,-8,Does not apply,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",0
E12000001,North East,7,Africa: South and Eastern Africa,-8,Does not apply,2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",0
E12000001,North East,7,Africa: South and Eastern Africa,-8,Does not apply,3,L7: Intermediate occupations,0
E12000001,North East,7,Africa: South and Eastern Africa,-8,Does not apply,4,L8 and L9: Small employers and own account workers,0
E12000001,North East,7,Africa: South and Eastern Africa,-8,Does not apply,5,L10 and L11: Lower supervisory and technical occupations,0
E12000001,North East,7,Africa: South and Eastern Africa,-8,Does not apply,6,L12: Semi-routine occupations,0
E12000001,North East,7,Africa: South and Eastern Africa,-8,Does not apply,7,L13: Routine occupations,0
E12000001,North East,7,Africa: South and Eastern Africa,-8,Does not apply,8,L14.1 and L14.2: Never worked and long-term unemployed,0
E12000001,North East,7,Africa: South and Eastern Africa,-8,Does not apply,9,L15: Full-time students,0
E12000001,North East,7,Africa: South and Eastern Africa,1,Disabled under the Equality Act,-8,Does not apply,9
E12000001,North East,7,Africa: South and Eastern Africa,1,Disabled under the Equality Act,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",13
E12000001,North East,7,Africa: South and Eastern Africa,1,Disabled under the Equality Act,2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",23
E12000001,North East,7,Africa: South and Eastern Africa,1,Disabled under the Equality Act,3,L7: Intermediate occupations,28
E12000001,North East,7,Africa: South and Eastern Africa,1,Disabled under the Equality Act,4,L8 and L9: Small employers and own account workers,21
E12000001,North East,7,Africa: South and Eastern Africa,1,Disabled under the Equality Act,5,L10 and L11: Lower supervisory and technical occupations,3
E12000001,North East,7,Africa: South and Eastern Africa,1,Disabled under the Equality Act,6,L12: Semi-routine occupations,21
E12000001,North East,7,Africa: South and Eastern Africa,1,Disabled under the Equality Act,7,L13: Routine occupations,17
E12000001,North East,7,Africa: South and Eastern Africa,1,Disabled under the Equality Act,8,L14.1 and L14.2: Never worked and long-term unemployed,27
E12000001,North East,7,Africa: South and Eastern Africa,1,Disabled under the Equality Act,9,L15: Full-time students,13
E12000001,North East,7,Africa: South and Eastern Africa,2,Not disabled under the Equality Act,-8,Does not apply,221
E12000001,North East,7,Africa: South and Eastern Africa,2,Not disabled under the Equality Act,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",215
E12000001,North East,7,Africa: South and Eastern Africa,2,Not disabled under the Equality Act,2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",313
E12000001,North East,7,Africa: South and Eastern Africa,2,Not disabled under the Equality Act,3,L7: Intermediate occupations,157
E12000001,North East,7,Africa: South and Eastern Africa,2,Not disabled under the Equality Act,4,L8 and L9: Small employers and own account workers,126
E12000001,North East,7,Africa: South and Eastern Africa,2,Not disabled under the Equality Act,5,L10 and L11: Lower supervisory and technical occupations,56
E12000001,North East,7,Africa: South and Eastern Africa,2,Not disabled under the Equality Act,6,L12: Semi-routine occupations,242
E12000001,North East,7,Africa: South and Eastern Africa,2,Not disabled under the Equality Act,7,L13: Routine occupations,121
E12000001,North East,7,Africa: South and Eastern Africa,2,Not disabled under the Equality Act,8,L14.1 and L14.2: Never worked and long-term unemployed,175
E12000001,North East,7,Africa: South and Eastern Africa,2,Not disabled under the Equality Act,9,L15: Full-time students,257
E12000001,North East,8,Middle East and Asia: Middle East,-8,Does not apply,-8,Does not apply,0
E12000001,North East,8,Middle East and Asia: Middle East,-8,Does not apply,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",0
E12000001,North East,8,Middle East and Asia: Middle East,-8,Does not apply,2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",0
E12000001,North East,8,Middle East and Asia: Middle East,-8,Does not apply,3,L7: Intermediate occupations,0
E12000001,North East,8,Middle East and Asia: Middle East,-8,Does not apply,4,L8 and L9: Small employers and own account workers,0
E12000001,North East,8,Middle East and Asia: Middle East,-8,Does not apply,5,L10 and L11: Lower supervisory and technical occupations,0
