England and Wales Code,England and Wales,Passport ,Passport 2,Occupation ,Occupation 2,Observation
K04000001,England and Wales,9,Middle East and Asia: Eastern Asia,5,5. Skilled trades occupations,7477
K04000001,England and Wales,9,Middle East and Asia: Eastern Asia,6,"6. Caring, leisure and other service occupations",2691
K04000001,England and Wales,9,Middle East and Asia: Eastern Asia,7,7. Sales and customer service occupations,4023
K04000001,England and Wales,9,Middle East and Asia: Eastern Asia,8,"8. Process, plant and machine operatives",726
K04000001,England and Wales,9,Middle East and Asia: Eastern Asia,9,9. Elementary occupations,4223
K04000001,England and Wales,10,Middle East and Asia: Southern Asia,1,"1. Managers, directors and senior officials",29253
K04000001,England and Wales,10,Middle East and Asia: Southern Asia,2,2. Professional occupations,91028
K04000001,England and Wales,10,Middle East and Asia: Southern Asia,3,3. Associate professional and technical occupations,22311
K04000001,England and Wales,10,Middle East and Asia: Southern Asia,4,4. Administrative and secretarial occupations,16631
K04000001,England and Wales,10,Middle East and Asia: Southern Asia,5,5. Skilled trades occupations,21294
K04000001,England and Wales,10,Middle East and Asia: Southern Asia,6,"6. Caring, leisure and other service occupations",24664
K04000001,England and Wales,10,Middle East and Asia: Southern Asia,7,7. Sales and customer service occupations,32765
K04000001,England and Wales,10,Middle East and Asia: Southern Asia,8,"8. Process, plant and machine operatives",30186
K04000001,England and Wales,10,Middle East and Asia: Southern Asia,9,9. Elementary occupations,52140
K04000001,England and Wales,11,Middle East and Asia: South-East Asia,1,"1. Managers, directors and senior officials",5079
K04000001,England and Wales,11,Middle East and Asia: South-East Asia,2,2. Professional occupations,30680
K04000001,England and Wales,11,Middle East and Asia: South-East Asia,3,3. Associate professional and technical occupations,5216
K04000001,England and Wales,11,Middle East and Asia: South-East Asia,4,4. Administrative and secretarial occupations,3526
K04000001,England and Wales,11,Middle East and Asia: South-East Asia,5,5. Skilled trades occupations,4809
K04000001,England and Wales,11,Middle East and Asia: South-East Asia,6,"6. Caring, leisure and other service occupations",13194
K04000001,England and Wales,11,Middle East and Asia: South-East Asia,7,7. Sales and customer service occupations,3444
K04000001,England and Wales,11,Middle East and Asia: South-East Asia,8,"8. Process, plant and machine operatives",1566
K04000001,England and Wales,11,Middle East and Asia: South-East Asia,9,9. Elementary occupations,9139
K04000001,England and Wales,12,Middle East and Asia: Central Asia,1,"1. Managers, directors and senior officials",360
K04000001,England and Wales,12,Middle East and Asia: Central Asia,2,2. Professional occupations,610
K04000001,England and Wales,12,Middle East and Asia: Central Asia,3,3. Associate professional and technical occupations,299
K04000001,England and Wales,12,Middle East and Asia: Central Asia,4,4. Administrative and secretarial occupations,191
K04000001,England and Wales,12,Middle East and Asia: Central Asia,5,5. Skilled trades occupations,123
K04000001,England and Wales,12,Middle East and Asia: Central Asia,6,"6. Caring, leisure and other service occupations",150
K04000001,England and Wales,12,Middle East and Asia: Central Asia,7,7. Sales and customer service occupations,163
K04000001,England and Wales,12,Middle East and Asia: Central Asia,8,"8. Process, plant and machine operatives",85
K04000001,England and Wales,12,Middle East and Asia: Central Asia,9,9. Elementary occupations,190
K04000001,England and Wales,13,The Americas and the Caribbean: North America,1,"1. Managers, directors and senior officials",17239
K04000001,England and Wales,13,The Americas and the Caribbean: North America,2,2. Professional occupations,32933
K04000001,England and Wales,13,The Americas and the Caribbean: North America,3,3. Associate professional and technical occupations,18252
K04000001,England and Wales,13,The Americas and the Caribbean: North America,4,4. Administrative and secretarial occupations,6177
K04000001,England and Wales,13,The Americas and the Caribbean: North America,5,5. Skilled trades occupations,3245
K04000001,England and Wales,13,The Americas and the Caribbean: North America,6,"6. Caring, leisure and other service occupations",3399
K04000001,England and Wales,13,The Americas and the Caribbean: North America,7,7. Sales and customer service occupations,3358
K04000001,England and Wales,13,The Americas and the Caribbean: North America,8,"8. Process, plant and machine operatives",1349
K04000001,England and Wales,13,The Americas and the Caribbean: North America,9,9. Elementary occupations,2691
K04000001,England and Wales,14,The Americas and the Caribbean: Central and South America,1,"1. Managers, directors and senior officials",6470
K04000001,England and Wales,14,The Americas and the Caribbean: Central and South America,2,2. Professional occupations,15086
K04000001,England and Wales,14,The Americas and the Caribbean: Central and South America,3,3. Associate professional and technical occupations,8640
K04000001,England and Wales,14,The Americas and the Caribbean: Central and South America,4,4. Administrative and secretarial occupations,4452
K04000001,England and Wales,14,The Americas and the Caribbean: Central and South America,5,5. Skilled trades occupations,7222
K04000001,England and Wales,14,The Americas and the Caribbean: Central and South America,6,"6. Caring, leisure and other service occupations",12001
K04000001,England and Wales,14,The Americas and the Caribbean: Central and South America,7,7. Sales and customer service occupations,4519
K04000001,England and Wales,14,The Americas and the Caribbean: Central and South America,8,"8. Process, plant and machine operatives",6814
K04000001,England and Wales,14,The Americas and the Caribbean: Central and South America,9,9. Elementary occupations,19221
K04000001,England and Wales,15,"Antarctica and Oceania, including Australasia",1,"1. Managers, directors and senior officials",11112
K04000001,England and Wales,15,"Antarctica and Oceania, including Australasia",2,2. Professional occupations,22394
K04000001,England and Wales,15,"Antarctica and Oceania, including Australasia",3,3. Associate professional and technical occupations,10008
K04000001,England and Wales,15,"Antarctica and Oceania, including Australasia",4,4. Administrative and secretarial occupations,3538
K04000001,England and Wales,15,"Antarctica and Oceania, including Australasia",5,5. Skilled trades occupations,2756
K04000001,England and Wales,15,"Antarctica and Oceania, including Australasia",6,"6. Caring, leisure and other service occupations",2521
K04000001,England and Wales,15,"Antarctica and Oceania, including Australasia",7,7. Sales and customer service occupations,1659
K04000001,England and Wales,15,"Antarctica and Oceania, including Australasia",8,"8. Process, plant and machine operatives",896
K04000001,England and Wales,15,"Antarctica and Oceania, including Australasia",9,9. Elementary occupations,1625
K04000001,England and Wales,16,British Overseas Territories,1,"1. Managers, directors and senior officials",26
K04000001,England and Wales,16,British Overseas Territories,2,2. Professional occupations,37
K04000001,England and Wales,16,British Overseas Territories,3,3. Associate professional and technical occupations,26
K04000001,England and Wales,16,British Overseas Territories,4,4. Administrative and secretarial occupations,18
K04000001,England and Wales,16,British Overseas Territories,5,5. Skilled trades occupations,13
K04000001,England and Wales,16,British Overseas Territories,6,"6. Caring, leisure and other service occupations",18
K04000001,England and Wales,16,British Overseas Territories,7,7. Sales and customer service occupations,23
K04000001,England and Wales,16,British Overseas Territories,8,"8. Process, plant and machine operatives",10
K04000001,England and Wales,16,British Overseas Territories,9,9. Elementary occupations,28
K04000001,England and Wales,17,No passport held,1,"1. Managers, directors and senior officials",91377
K04000001,England and Wales,17,No passport held,2,2. Professional occupations,103947
K04000001,England and Wales,17,No passport held,3,3. Associate professional and technical occupations,105535
K04000001,England and Wales,17,No passport held,4,4. Administrative and secretarial occupations,109822
K04000001,England and Wales,17,No passport held,5,5. Skilled trades occupations,227723
K04000001,England and Wales,17,No passport held,6,"6. Caring, leisure and other service occupations",203908
K04000001,England and Wales,17,No passport held,7,7. Sales and customer service occupations,171116
K04000001,England and Wales,17,No passport held,8,"8. Process, plant and machine operatives",173223
K04000001,England and Wales,17,No passport held,9,9. Elementary occupations,333609
