Regions Code,Regions,Passports held (18 categories) Code,Passports held (18 categories),Economic activity status (7 categories) Code,Economic activity status (7 categories),Disability (3 categories) Code,Disability (3 categories),Observation
E12000001,North East,2,Europe: Ireland,2,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,-8,Does not apply,0
E12000001,North East,2,Europe: Ireland,2,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,1,Disabled under the Equality Act,24
E12000001,North East,2,Europe: Ireland,2,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,2,Not disabled under the Equality Act,96
E12000001,North East,2,Europe: Ireland,3,Economically active and a full-time student: In employment,-8,Does not apply,0
E12000001,North East,2,Europe: Ireland,3,Economically active and a full-time student: In employment,1,Disabled under the Equality Act,16
E12000001,North East,2,Europe: Ireland,3,Economically active and a full-time student: In employment,2,Not disabled under the Equality Act,131
E12000001,North East,2,Europe: Ireland,4,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,-8,Does not apply,0
E12000001,North East,2,Europe: Ireland,4,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,1,Disabled under the Equality Act,6
E12000001,North East,2,Europe: Ireland,4,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,2,Not disabled under the Equality Act,33
E12000001,North East,2,Europe: Ireland,5,Economically inactive (excluding full-time students),-8,Does not apply,0
E12000001,North East,2,Europe: Ireland,5,Economically inactive (excluding full-time students),1,Disabled under the Equality Act,561
E12000001,North East,2,Europe: Ireland,5,Economically inactive (excluding full-time students),2,Not disabled under the Equality Act,923
E12000001,North East,2,Europe: Ireland,6,Economically inactive and a full-time student,-8,Does not apply,0
E12000001,North East,2,Europe: Ireland,6,Economically inactive and a full-time student,1,Disabled under the Equality Act,37
E12000001,North East,2,Europe: Ireland,6,Economically inactive and a full-time student,2,Not disabled under the Equality Act,371
E12000001,North East,3,Europe: Other Europe: EU Member countries,-8,Does not apply,-8,Does not apply,0
E12000001,North East,3,Europe: Other Europe: EU Member countries,-8,Does not apply,1,Disabled under the Equality Act,360
E12000001,North East,3,Europe: Other Europe: EU Member countries,-8,Does not apply,2,Not disabled under the Equality Act,9103
E12000001,North East,3,Europe: Other Europe: EU Member countries,1,Economically active (excluding full-time students): In employment,-8,Does not apply,0
E12000001,North East,3,Europe: Other Europe: EU Member countries,1,Economically active (excluding full-time students): In employment,1,Disabled under the Equality Act,1362
E12000001,North East,3,Europe: Other Europe: EU Member countries,1,Economically active (excluding full-time students): In employment,2,Not disabled under the Equality Act,23366
E12000001,North East,3,Europe: Other Europe: EU Member countries,2,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,-8,Does not apply,0
E12000001,North East,3,Europe: Other Europe: EU Member countries,2,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,1,Disabled under the Equality Act,173
E12000001,North East,3,Europe: Other Europe: EU Member countries,2,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,2,Not disabled under the Equality Act,1754
E12000001,North East,3,Europe: Other Europe: EU Member countries,3,Economically active and a full-time student: In employment,-8,Does not apply,0
E12000001,North East,3,Europe: Other Europe: EU Member countries,3,Economically active and a full-time student: In employment,1,Disabled under the Equality Act,85
E12000001,North East,3,Europe: Other Europe: EU Member countries,3,Economically active and a full-time student: In employment,2,Not disabled under the Equality Act,1144
E12000001,North East,3,Europe: Other Europe: EU Member countries,4,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,-8,Does not apply,0
E12000001,North East,3,Europe: Other Europe: EU Member countries,4,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,1,Disabled under the Equality Act,32
E12000001,North East,3,Europe: Other Europe: EU Member countries,4,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,2,Not disabled under the Equality Act,384
E12000001,North East,3,Europe: Other Europe: EU Member countries,5,Economically inactive (excluding full-time students),-8,Does not apply,0
E12000001,North East,3,Europe: Other Europe: EU Member countries,5,Economically inactive (excluding full-time students),1,Disabled under the Equality Act,1510
E12000001,North East,3,Europe: Other Europe: EU Member countries,5,Economically inactive (excluding full-time students),2,Not disabled under the Equality Act,5323
E12000001,North East,3,Europe: Other Europe: EU Member countries,6,Economically inactive and a full-time student,-8,Does not apply,0
E12000001,North East,3,Europe: Other Europe: EU Member countries,6,Economically inactive and a full-time student,1,Disabled under the Equality Act,199
E12000001,North East,3,Europe: Other Europe: EU Member countries,6,Economically inactive and a full-time student,2,Not disabled under the Equality Act,2909
E12000001,North East,4,Europe: Other Europe: Rest of Europe,-8,Does not apply,-8,Does not apply,0
E12000001,North East,4,Europe: Other Europe: Rest of Europe,-8,Does not apply,1,Disabled under the Equality Act,10
E12000001,North East,4,Europe: Other Europe: Rest of Europe,-8,Does not apply,2,Not disabled under the Equality Act,313
E12000001,North East,4,Europe: Other Europe: Rest of Europe,1,Economically active (excluding full-time students): In employment,-8,Does not apply,0
E12000001,North East,4,Europe: Other Europe: Rest of Europe,1,Economically active (excluding full-time students): In employment,1,Disabled under the Equality Act,50
E12000001,North East,4,Europe: Other Europe: Rest of Europe,1,Economically active (excluding full-time students): In employment,2,Not disabled under the Equality Act,1008
E12000001,North East,4,Europe: Other Europe: Rest of Europe,2,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,-8,Does not apply,0
E12000001,North East,4,Europe: Other Europe: Rest of Europe,2,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,1,Disabled under the Equality Act,15
E12000001,North East,4,Europe: Other Europe: Rest of Europe,2,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,2,Not disabled under the Equality Act,141
E12000001,North East,4,Europe: Other Europe: Rest of Europe,3,Economically active and a full-time student: In employment,-8,Does not apply,0
E12000001,North East,4,Europe: Other Europe: Rest of Europe,3,Economically active and a full-time student: In employment,1,Disabled under the Equality Act,5
E12000001,North East,4,Europe: Other Europe: Rest of Europe,3,Economically active and a full-time student: In employment,2,Not disabled under the Equality Act,42
E12000001,North East,4,Europe: Other Europe: Rest of Europe,4,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,-8,Does not apply,0
E12000001,North East,4,Europe: Other Europe: Rest of Europe,4,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,1,Disabled under the Equality Act,1
E12000001,North East,4,Europe: Other Europe: Rest of Europe,4,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,2,Not disabled under the Equality Act,7
E12000001,North East,4,Europe: Other Europe: Rest of Europe,5,Economically inactive (excluding full-time students),-8,Does not apply,0
E12000001,North East,4,Europe: Other Europe: Rest of Europe,5,Economically inactive (excluding full-time students),1,Disabled under the Equality Act,104
E12000001,North East,4,Europe: Other Europe: Rest of Europe,5,Economically inactive (excluding full-time students),2,Not disabled under the Equality Act,467
E12000001,North East,4,Europe: Other Europe: Rest of Europe,6,Economically inactive and a full-time student,-8,Does not apply,0
E12000001,North East,4,Europe: Other Europe: Rest of Europe,6,Economically inactive and a full-time student,1,Disabled under the Equality Act,17
E12000001,North East,4,Europe: Other Europe: Rest of Europe,6,Economically inactive and a full-time student,2,Not disabled under the Equality Act,196
E12000001,North East,5,Africa: North Africa,-8,Does not apply,-8,Does not apply,0
E12000001,North East,5,Africa: North Africa,-8,Does not apply,1,Disabled under the Equality Act,28
E12000001,North East,5,Africa: North Africa,-8,Does not apply,2,Not disabled under the Equality Act,459
E12000001,North East,5,Africa: North Africa,1,Economically active (excluding full-time students): In employment,-8,Does not apply,0
E12000001,North East,5,Africa: North Africa,1,Economically active (excluding full-time students): In employment,1,Disabled under the Equality Act,19
E12000001,North East,5,Africa: North Africa,1,Economically active (excluding full-time students): In employment,2,Not disabled under the Equality Act,525
E12000001,North East,5,Africa: North Africa,2,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,-8,Does not apply,0
E12000001,North East,5,Africa: North Africa,2,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,1,Disabled under the Equality Act,6
E12000001,North East,5,Africa: North Africa,2,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,2,Not disabled under the Equality Act,98
E12000001,North East,5,Africa: North Africa,3,Economically active and a full-time student: In employment,-8,Does not apply,0
E12000001,North East,5,Africa: North Africa,3,Economically active and a full-time student: In employment,1,Disabled under the Equality Act,3
E12000001,North East,5,Africa: North Africa,3,Economically active and a full-time student: In employment,2,Not disabled under the Equality Act,34
E12000001,North East,5,Africa: North Africa,4,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,-8,Does not apply,0
E12000001,North East,5,Africa: North Africa,4,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,1,Disabled under the Equality Act,2
E12000001,North East,5,Africa: North Africa,4,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,2,Not disabled under the Equality Act,17
E12000001,North East,5,Africa: North Africa,5,Economically inactive (excluding full-time students),-8,Does not apply,0
E12000001,North East,5,Africa: North Africa,5,Economically inactive (excluding full-time students),1,Disabled under the Equality Act,48
E12000001,North East,5,Africa: North Africa,5,Economically inactive (excluding full-time students),2,Not disabled under the Equality Act,374
E12000001,North East,5,Africa: North Africa,6,Economically inactive and a full-time student,-8,Does not apply,0
E12000001,North East,5,Africa: North Africa,6,Economically inactive and a full-time student,1,Disabled under the Equality Act,14
E12000001,North East,5,Africa: North Africa,6,Economically inactive and a full-time student,2,Not disabled under the Equality Act,189
E12000001,North East,6,Africa: Central and Western Africa,-8,Does not apply,-8,Does not apply,0
E12000001,North East,6,Africa: Central and Western Africa,-8,Does not apply,1,Disabled under the Equality Act,13
E12000001,North East,6,Africa: Central and Western Africa,-8,Does not apply,2,Not disabled under the Equality Act,889
E12000001,North East,6,Africa: Central and Western Africa,1,Economically active (excluding full-time students): In employment,-8,Does not apply,0
E12000001,North East,6,Africa: Central and Western Africa,1,Economically active (excluding full-time students): In employment,1,Disabled under the Equality Act,49
E12000001,North East,6,Africa: Central and Western Africa,1,Economically active (excluding full-time students): In employment,2,Not disabled under the Equality Act,1729
E12000001,North East,6,Africa: Central and Western Africa,2,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,-8,Does not apply,0
E12000001,North East,6,Africa: Central and Western Africa,2,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,1,Disabled under the Equality Act,7
E12000001,North East,6,Africa: Central and Western Africa,2,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,2,Not disabled under the Equality Act,245
E12000001,North East,6,Africa: Central and Western Africa,3,Economically active and a full-time student: In employment,-8,Does not apply,0
E12000001,North East,6,Africa: Central and Western Africa,3,Economically active and a full-time student: In employment,1,Disabled under the Equality Act,7
E12000001,North East,6,Africa: Central and Western Africa,3,Economically active and a full-time student: In employment,2,Not disabled under the Equality Act,472
E12000001,North East,6,Africa: Central and Western Africa,4,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,-8,Does not apply,0
E12000001,North East,6,Africa: Central and Western Africa,4,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,1,Disabled under the Equality Act,1
E12000001,North East,6,Africa: Central and Western Africa,4,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,2,Not disabled under the Equality Act,302
E12000001,North East,6,Africa: Central and Western Africa,5,Economically inactive (excluding full-time students),-8,Does not apply,0
E12000001,North East,6,Africa: Central and Western Africa,5,Economically inactive (excluding full-time students),1,Disabled under the Equality Act,27
E12000001,North East,6,Africa: Central and Western Africa,5,Economically inactive (excluding full-time students),2,Not disabled under the Equality Act,416
E12000001,North East,6,Africa: Central and Western Africa,6,Economically inactive and a full-time student,-8,Does not apply,0
E12000001,North East,6,Africa: Central and Western Africa,6,Economically inactive and a full-time student,1,Disabled under the Equality Act,8
E12000001,North East,6,Africa: Central and Western Africa,6,Economically inactive and a full-time student,2,Not disabled under the Equality Act,475
E12000001,North East,7,Africa: South and Eastern Africa,-8,Does not apply,-8,Does not apply,0
E12000001,North East,7,Africa: South and Eastern Africa,-8,Does not apply,1,Disabled under the Equality Act,9
E12000001,North East,7,Africa: South and Eastern Africa,-8,Does not apply,2,Not disabled under the Equality Act,221
E12000001,North East,7,Africa: South and Eastern Africa,1,Economically active (excluding full-time students): In employment,-8,Does not apply,0
E12000001,North East,7,Africa: South and Eastern Africa,1,Economically active (excluding full-time students): In employment,1,Disabled under the Equality Act,71
E12000001,North East,7,Africa: South and Eastern Africa,1,Economically active (excluding full-time students): In employment,2,Not disabled under the Equality Act,997
E12000001,North East,7,Africa: South and Eastern Africa,2,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,-8,Does not apply,0
E12000001,North East,7,Africa: South and Eastern Africa,2,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,1,Disabled under the Equality Act,6
E12000001,North East,7,Africa: South and Eastern Africa,2,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,2,Not disabled under the Equality Act,139
E12000001,North East,7,Africa: South and Eastern Africa,3,Economically active and a full-time student: In employment,-8,Does not apply,0
E12000001,North East,7,Africa: South and Eastern Africa,3,Economically active and a full-time student: In employment,1,Disabled under the Equality Act,3
E12000001,North East,7,Africa: South and Eastern Africa,3,Economically active and a full-time student: In employment,2,Not disabled under the Equality Act,68
E12000001,North East,7,Africa: South and Eastern Africa,4,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,-8,Does not apply,0
E12000001,North East,7,Africa: South and Eastern Africa,4,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,1,Disabled under the Equality Act,0
E12000001,North East,7,Africa: South and Eastern Africa,4,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,2,Not disabled under the Equality Act,31
E12000001,North East,7,Africa: South and Eastern Africa,5,Economically inactive (excluding full-time students),-8,Does not apply,0
E12000001,North East,7,Africa: South and Eastern Africa,5,Economically inactive (excluding full-time students),1,Disabled under the Equality Act,76
E12000001,North East,7,Africa: South and Eastern Africa,5,Economically inactive (excluding full-time students),2,Not disabled under the Equality Act,260
E12000001,North East,7,Africa: South and Eastern Africa,6,Economically inactive and a full-time student,-8,Does not apply,0
E12000001,North East,7,Africa: South and Eastern Africa,6,Economically inactive and a full-time student,1,Disabled under the Equality Act,9
E12000001,North East,7,Africa: South and Eastern Africa,6,Economically inactive and a full-time student,2,Not disabled under the Equality Act,169
E12000001,North East,8,Middle East and Asia: Middle East,-8,Does not apply,-8,Does not apply,0
E12000001,North East,8,Middle East and Asia: Middle East,-8,Does not apply,1,Disabled under the Equality Act,37
E12000001,North East,8,Middle East and Asia: Middle East,-8,Does not apply,2,Not disabled under the Equality Act,754
E12000001,North East,8,Middle East and Asia: Middle East,1,Economically active (excluding full-time students): In employment,-8,Does not apply,0
E12000001,North East,8,Middle East and Asia: Middle East,1,Economically active (excluding full-time students): In employment,1,Disabled under the Equality Act,30
E12000001,North East,8,Middle East and Asia: Middle East,1,Economically active (excluding full-time students): In employment,2,Not disabled under the Equality Act,488
E12000001,North East,8,Middle East and Asia: Middle East,2,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,-8,Does not apply,0
E12000001,North East,8,Middle East and Asia: Middle East,2,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,1,Disabled under the Equality Act,21
E12000001,North East,8,Middle East and Asia: Middle East,2,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,2,Not disabled under the Equality Act,155
E12000001,North East,8,Middle East and Asia: Middle East,3,Economically active and a full-time student: In employment,-8,Does not apply,0
E12000001,North East,8,Middle East and Asia: Middle East,3,Economically active and a full-time student: In employment,1,Disabled under the Equality Act,2
E12000001,North East,8,Middle East and Asia: Middle East,3,Economically active and a full-time student: In employment,2,Not disabled under the Equality Act,58
E12000001,North East,8,Middle East and Asia: Middle East,4,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,-8,Does not apply,0
E12000001,North East,8,Middle East and Asia: Middle East,4,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,1,Disabled under the Equality Act,2
E12000001,North East,8,Middle East and Asia: Middle East,4,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,2,Not disabled under the Equality Act,32
E12000001,North East,8,Middle East and Asia: Middle East,5,Economically inactive (excluding full-time students),-8,Does not apply,0
E12000001,North East,8,Middle East and Asia: Middle East,5,Economically inactive (excluding full-time students),1,Disabled under the Equality Act,150
E12000001,North East,8,Middle East and Asia: Middle East,5,Economically inactive (excluding full-time students),2,Not disabled under the Equality Act,642
E12000001,North East,8,Middle East and Asia: Middle East,6,Economically inactive and a full-time student,-8,Does not apply,0
E12000001,North East,8,Middle East and Asia: Middle East,6,Economically inactive and a full-time student,1,Disabled under the Equality Act,39
E12000001,North East,8,Middle East and Asia: Middle East,6,Economically inactive and a full-time student,2,Not disabled under the Equality Act,793
E12000001,North East,9,Middle East and Asia: Eastern Asia,-8,Does not apply,-8,Does not apply,0
E12000001,North East,9,Middle East and Asia: Eastern Asia,-8,Does not apply,1,Disabled under the Equality Act,6
E12000001,North East,9,Middle East and Asia: Eastern Asia,-8,Does not apply,2,Not disabled under the Equality Act,262
E12000001,North East,9,Middle East and Asia: Eastern Asia,1,Economically active (excluding full-time students): In employment,-8,Does not apply,0
E12000001,North East,9,Middle East and Asia: Eastern Asia,1,Economically active (excluding full-time students): In employment,1,Disabled under the Equality Act,35
E12000001,North East,9,Middle East and Asia: Eastern Asia,1,Economically active (excluding full-time students): In employment,2,Not disabled under the Equality Act,1430
E12000001,North East,9,Middle East and Asia: Eastern Asia,2,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,-8,Does not apply,0
E12000001,North East,9,Middle East and Asia: Eastern Asia,2,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,1,Disabled under the Equality Act,2
E12000001,North East,9,Middle East and Asia: Eastern Asia,2,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,2,Not disabled under the Equality Act,107
E12000001,North East,9,Middle East and Asia: Eastern Asia,3,Economically active and a full-time student: In employment,-8,Does not apply,0
E12000001,North East,9,Middle East and Asia: Eastern Asia,3,Economically active and a full-time student: In employment,1,Disabled under the Equality Act,5
E12000001,North East,9,Middle East and Asia: Eastern Asia,3,Economically active and a full-time student: In employment,2,Not disabled under the Equality Act,59
E12000001,North East,9,Middle East and Asia: Eastern Asia,4,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,-8,Does not apply,0
E12000001,North East,9,Middle East and Asia: Eastern Asia,4,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,1,Disabled under the Equality Act,5
E12000001,North East,9,Middle East and Asia: Eastern Asia,4,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,2,Not disabled under the Equality Act,41
E12000001,North East,9,Middle East and Asia: Eastern Asia,5,Economically inactive (excluding full-time students),-8,Does not apply,0
E12000001,North East,9,Middle East and Asia: Eastern Asia,5,Economically inactive (excluding full-time students),1,Disabled under the Equality Act,50
E12000001,North East,9,Middle East and Asia: Eastern Asia,5,Economically inactive (excluding full-time students),2,Not disabled under the Equality Act,525
E12000001,North East,9,Middle East and Asia: Eastern Asia,6,Economically inactive and a full-time student,-8,Does not apply,0
E12000001,North East,9,Middle East and Asia: Eastern Asia,6,Economically inactive and a full-time student,1,Disabled under the Equality Act,23
E12000001,North East,9,Middle East and Asia: Eastern Asia,6,Economically inactive and a full-time student,2,Not disabled under the Equality Act,728
E12000001,North East,10,Middle East and Asia: Southern Asia,-8,Does not apply,-8,Does not apply,0
E12000001,North East,10,Middle East and Asia: Southern Asia,-8,Does not apply,1,Disabled under the Equality Act,44
E12000001,North East,10,Middle East and Asia: Southern Asia,-8,Does not apply,2,Not disabled under the Equality Act,1469
E12000001,North East,10,Middle East and Asia: Southern Asia,1,Economically active (excluding full-time students): In employment,-8,Does not apply,0
E12000001,North East,10,Middle East and Asia: Southern Asia,1,Economically active (excluding full-time students): In employment,1,Disabled under the Equality Act,189
E12000001,North East,10,Middle East and Asia: Southern Asia,1,Economically active (excluding full-time students): In employment,2,Not disabled under the Equality Act,4298
E12000001,North East,10,Middle East and Asia: Southern Asia,2,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,-8,Does not apply,0
E12000001,North East,10,Middle East and Asia: Southern Asia,2,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,1,Disabled under the Equality Act,20
