England and Wales Code,England and Wales,Highest level of qualification (8 categories) Code,Highest level of qualification (8 categories),Passports held (18 categories) Code,Passports held (18 categories),Occupation (current) (10 categories) Code,Occupation (current) (10 categories),Disability (3 categories) Code,Disability (3 categories),Observation
K04000001,England and Wales,-8,Does not apply,1,Europe: United Kingdom,2,2. Professional occupations,-8,Does not apply,0
K04000001,England and Wales,-8,Does not apply,1,Europe: United Kingdom,2,2. Professional occupations,1,Disabled under the Equality Act,0
K04000001,England and Wales,-8,Does not apply,1,Europe: United Kingdom,2,2. Professional occupations,2,Not disabled under the Equality Act,0
K04000001,England and Wales,-8,Does not apply,1,Europe: United Kingdom,3,3. Associate professional and technical occupations,-8,Does not apply,0
K04000001,England and Wales,-8,Does not apply,1,Europe: United Kingdom,3,3. Associate professional and technical occupations,1,Disabled under the Equality Act,0
K04000001,England and Wales,-8,Does not apply,1,Europe: United Kingdom,3,3. Associate professional and technical occupations,2,Not disabled under the Equality Act,0
K04000001,England and Wales,-8,Does not apply,1,Europe: United Kingdom,4,4. Administrative and secretarial occupations,-8,Does not apply,0
K04000001,England and Wales,-8,Does not apply,1,Europe: United Kingdom,4,4. Administrative and secretarial occupations,1,Disabled under the Equality Act,0
K04000001,England and Wales,-8,Does not apply,1,Europe: United Kingdom,4,4. Administrative and secretarial occupations,2,Not disabled under the Equality Act,0
K04000001,England and Wales,-8,Does not apply,1,Europe: United Kingdom,5,5. Skilled trades occupations,-8,Does not apply,0
K04000001,England and Wales,-8,Does not apply,1,Europe: United Kingdom,5,5. Skilled trades occupations,1,Disabled under the Equality Act,0
K04000001,England and Wales,-8,Does not apply,1,Europe: United Kingdom,5,5. Skilled trades occupations,2,Not disabled under the Equality Act,0
K04000001,England and Wales,-8,Does not apply,1,Europe: United Kingdom,6,"6. Caring, leisure and other service occupations",-8,Does not apply,0
K04000001,England and Wales,-8,Does not apply,1,Europe: United Kingdom,6,"6. Caring, leisure and other service occupations",1,Disabled under the Equality Act,0
K04000001,England and Wales,-8,Does not apply,1,Europe: United Kingdom,6,"6. Caring, leisure and other service occupations",2,Not disabled under the Equality Act,0
K04000001,England and Wales,-8,Does not apply,1,Europe: United Kingdom,7,7. Sales and customer service occupations,-8,Does not apply,0
K04000001,England and Wales,-8,Does not apply,1,Europe: United Kingdom,7,7. Sales and customer service occupations,1,Disabled under the Equality Act,0
K04000001,England and Wales,-8,Does not apply,1,Europe: United Kingdom,7,7. Sales and customer service occupations,2,Not disabled under the Equality Act,0
K04000001,England and Wales,-8,Does not apply,1,Europe: United Kingdom,8,"8. Process, plant and machine operatives",-8,Does not apply,0
K04000001,England and Wales,-8,Does not apply,1,Europe: United Kingdom,8,"8. Process, plant and machine operatives",1,Disabled under the Equality Act,0
K04000001,England and Wales,-8,Does not apply,1,Europe: United Kingdom,8,"8. Process, plant and machine operatives",2,Not disabled under the Equality Act,0
K04000001,England and Wales,-8,Does not apply,1,Europe: United Kingdom,9,9. Elementary occupations,-8,Does not apply,0
K04000001,England and Wales,-8,Does not apply,1,Europe: United Kingdom,9,9. Elementary occupations,1,Disabled under the Equality Act,0
K04000001,England and Wales,-8,Does not apply,1,Europe: United Kingdom,9,9. Elementary occupations,2,Not disabled under the Equality Act,0
K04000001,England and Wales,-8,Does not apply,2,Europe: Ireland,-8,Does not apply,-8,Does not apply,0
K04000001,England and Wales,-8,Does not apply,2,Europe: Ireland,-8,Does not apply,1,Disabled under the Equality Act,1306
K04000001,England and Wales,-8,Does not apply,2,Europe: Ireland,-8,Does not apply,2,Not disabled under the Equality Act,24965
K04000001,England and Wales,-8,Does not apply,2,Europe: Ireland,1,"1. Managers, directors and senior officials",-8,Does not apply,0
K04000001,England and Wales,-8,Does not apply,2,Europe: Ireland,1,"1. Managers, directors and senior officials",1,Disabled under the Equality Act,0
K04000001,England and Wales,-8,Does not apply,2,Europe: Ireland,1,"1. Managers, directors and senior officials",2,Not disabled under the Equality Act,0
K04000001,England and Wales,-8,Does not apply,2,Europe: Ireland,2,2. Professional occupations,-8,Does not apply,0
K04000001,England and Wales,-8,Does not apply,2,Europe: Ireland,2,2. Professional occupations,1,Disabled under the Equality Act,0
K04000001,England and Wales,-8,Does not apply,2,Europe: Ireland,2,2. Professional occupations,2,Not disabled under the Equality Act,0
K04000001,England and Wales,-8,Does not apply,2,Europe: Ireland,3,3. Associate professional and technical occupations,-8,Does not apply,0
K04000001,England and Wales,-8,Does not apply,2,Europe: Ireland,3,3. Associate professional and technical occupations,1,Disabled under the Equality Act,0
K04000001,England and Wales,-8,Does not apply,2,Europe: Ireland,3,3. Associate professional and technical occupations,2,Not disabled under the Equality Act,0
K04000001,England and Wales,-8,Does not apply,2,Europe: Ireland,4,4. Administrative and secretarial occupations,-8,Does not apply,0
K04000001,England and Wales,-8,Does not apply,2,Europe: Ireland,4,4. Administrative and secretarial occupations,1,Disabled under the Equality Act,0
K04000001,England and Wales,-8,Does not apply,2,Europe: Ireland,4,4. Administrative and secretarial occupations,2,Not disabled under the Equality Act,0
K04000001,England and Wales,-8,Does not apply,2,Europe: Ireland,5,5. Skilled trades occupations,-8,Does not apply,0
K04000001,England and Wales,-8,Does not apply,2,Europe: Ireland,5,5. Skilled trades occupations,1,Disabled under the Equality Act,0
K04000001,England and Wales,-8,Does not apply,2,Europe: Ireland,5,5. Skilled trades occupations,2,Not disabled under the Equality Act,0
K04000001,England and Wales,-8,Does not apply,2,Europe: Ireland,6,"6. Caring, leisure and other service occupations",-8,Does not apply,0
K04000001,England and Wales,-8,Does not apply,2,Europe: Ireland,6,"6. Caring, leisure and other service occupations",1,Disabled under the Equality Act,0
K04000001,England and Wales,-8,Does not apply,2,Europe: Ireland,6,"6. Caring, leisure and other service occupations",2,Not disabled under the Equality Act,0
K04000001,England and Wales,-8,Does not apply,2,Europe: Ireland,7,7. Sales and customer service occupations,-8,Does not apply,0
K04000001,England and Wales,-8,Does not apply,2,Europe: Ireland,7,7. Sales and customer service occupations,1,Disabled under the Equality Act,0
K04000001,England and Wales,-8,Does not apply,2,Europe: Ireland,7,7. Sales and customer service occupations,2,Not disabled under the Equality Act,0
K04000001,England and Wales,-8,Does not apply,2,Europe: Ireland,8,"8. Process, plant and machine operatives",-8,Does not apply,0
K04000001,England and Wales,-8,Does not apply,2,Europe: Ireland,8,"8. Process, plant and machine operatives",1,Disabled under the Equality Act,0
K04000001,England and Wales,-8,Does not apply,2,Europe: Ireland,8,"8. Process, plant and machine operatives",2,Not disabled under the Equality Act,0
K04000001,England and Wales,-8,Does not apply,2,Europe: Ireland,9,9. Elementary occupations,-8,Does not apply,0
K04000001,England and Wales,-8,Does not apply,2,Europe: Ireland,9,9. Elementary occupations,1,Disabled under the Equality Act,0
K04000001,England and Wales,-8,Does not apply,2,Europe: Ireland,9,9. Elementary occupations,2,Not disabled under the Equality Act,0
K04000001,England and Wales,-8,Does not apply,3,Europe: Other Europe: EU Member countries,-8,Does not apply,-8,Does not apply,0
K04000001,England and Wales,-8,Does not apply,3,Europe: Other Europe: EU Member countries,-8,Does not apply,1,Disabled under the Equality Act,16527
K04000001,England and Wales,-8,Does not apply,3,Europe: Other Europe: EU Member countries,-8,Does not apply,2,Not disabled under the Equality Act,565388
K04000001,England and Wales,-8,Does not apply,3,Europe: Other Europe: EU Member countries,1,"1. Managers, directors and senior officials",-8,Does not apply,0
K04000001,England and Wales,-8,Does not apply,3,Europe: Other Europe: EU Member countries,1,"1. Managers, directors and senior officials",1,Disabled under the Equality Act,0
K04000001,England and Wales,-8,Does not apply,3,Europe: Other Europe: EU Member countries,1,"1. Managers, directors and senior officials",2,Not disabled under the Equality Act,0
K04000001,England and Wales,-8,Does not apply,3,Europe: Other Europe: EU Member countries,2,2. Professional occupations,-8,Does not apply,0
K04000001,England and Wales,-8,Does not apply,3,Europe: Other Europe: EU Member countries,2,2. Professional occupations,1,Disabled under the Equality Act,0
K04000001,England and Wales,-8,Does not apply,3,Europe: Other Europe: EU Member countries,2,2. Professional occupations,2,Not disabled under the Equality Act,0
K04000001,England and Wales,-8,Does not apply,3,Europe: Other Europe: EU Member countries,3,3. Associate professional and technical occupations,-8,Does not apply,0
K04000001,England and Wales,-8,Does not apply,3,Europe: Other Europe: EU Member countries,3,3. Associate professional and technical occupations,1,Disabled under the Equality Act,0
K04000001,England and Wales,-8,Does not apply,3,Europe: Other Europe: EU Member countries,3,3. Associate professional and technical occupations,2,Not disabled under the Equality Act,0
K04000001,England and Wales,-8,Does not apply,3,Europe: Other Europe: EU Member countries,4,4. Administrative and secretarial occupations,-8,Does not apply,0
K04000001,England and Wales,-8,Does not apply,3,Europe: Other Europe: EU Member countries,4,4. Administrative and secretarial occupations,1,Disabled under the Equality Act,0
K04000001,England and Wales,-8,Does not apply,3,Europe: Other Europe: EU Member countries,4,4. Administrative and secretarial occupations,2,Not disabled under the Equality Act,0
K04000001,England and Wales,-8,Does not apply,3,Europe: Other Europe: EU Member countries,5,5. Skilled trades occupations,-8,Does not apply,0
K04000001,England and Wales,-8,Does not apply,3,Europe: Other Europe: EU Member countries,5,5. Skilled trades occupations,1,Disabled under the Equality Act,0
K04000001,England and Wales,-8,Does not apply,3,Europe: Other Europe: EU Member countries,5,5. Skilled trades occupations,2,Not disabled under the Equality Act,0
K04000001,England and Wales,-8,Does not apply,3,Europe: Other Europe: EU Member countries,6,"6. Caring, leisure and other service occupations",-8,Does not apply,0
K04000001,England and Wales,-8,Does not apply,3,Europe: Other Europe: EU Member countries,6,"6. Caring, leisure and other service occupations",1,Disabled under the Equality Act,0
K04000001,England and Wales,-8,Does not apply,3,Europe: Other Europe: EU Member countries,6,"6. Caring, leisure and other service occupations",2,Not disabled under the Equality Act,0
K04000001,England and Wales,-8,Does not apply,3,Europe: Other Europe: EU Member countries,7,7. Sales and customer service occupations,-8,Does not apply,0
K04000001,England and Wales,-8,Does not apply,3,Europe: Other Europe: EU Member countries,7,7. Sales and customer service occupations,1,Disabled under the Equality Act,0
K04000001,England and Wales,-8,Does not apply,3,Europe: Other Europe: EU Member countries,7,7. Sales and customer service occupations,2,Not disabled under the Equality Act,0
K04000001,England and Wales,-8,Does not apply,3,Europe: Other Europe: EU Member countries,8,"8. Process, plant and machine operatives",-8,Does not apply,0
K04000001,England and Wales,-8,Does not apply,3,Europe: Other Europe: EU Member countries,8,"8. Process, plant and machine operatives",1,Disabled under the Equality Act,0
K04000001,England and Wales,-8,Does not apply,3,Europe: Other Europe: EU Member countries,8,"8. Process, plant and machine operatives",2,Not disabled under the Equality Act,0
K04000001,England and Wales,-8,Does not apply,3,Europe: Other Europe: EU Member countries,9,9. Elementary occupations,-8,Does not apply,0
K04000001,England and Wales,-8,Does not apply,3,Europe: Other Europe: EU Member countries,9,9. Elementary occupations,1,Disabled under the Equality Act,0
K04000001,England and Wales,-8,Does not apply,3,Europe: Other Europe: EU Member countries,9,9. Elementary occupations,2,Not disabled under the Equality Act,0
K04000001,England and Wales,-8,Does not apply,4,Europe: Other Europe: Rest of Europe,-8,Does not apply,-8,Does not apply,0
K04000001,England and Wales,-8,Does not apply,4,Europe: Other Europe: Rest of Europe,-8,Does not apply,1,Disabled under the Equality Act,518
K04000001,England and Wales,-8,Does not apply,4,Europe: Other Europe: Rest of Europe,-8,Does not apply,2,Not disabled under the Equality Act,21256
K04000001,England and Wales,-8,Does not apply,4,Europe: Other Europe: Rest of Europe,1,"1. Managers, directors and senior officials",-8,Does not apply,0
K04000001,England and Wales,-8,Does not apply,4,Europe: Other Europe: Rest of Europe,1,"1. Managers, directors and senior officials",1,Disabled under the Equality Act,0
K04000001,England and Wales,-8,Does not apply,4,Europe: Other Europe: Rest of Europe,1,"1. Managers, directors and senior officials",2,Not disabled under the Equality Act,0
K04000001,England and Wales,-8,Does not apply,4,Europe: Other Europe: Rest of Europe,2,2. Professional occupations,-8,Does not apply,0
K04000001,England and Wales,-8,Does not apply,4,Europe: Other Europe: Rest of Europe,2,2. Professional occupations,1,Disabled under the Equality Act,0
K04000001,England and Wales,-8,Does not apply,4,Europe: Other Europe: Rest of Europe,2,2. Professional occupations,2,Not disabled under the Equality Act,0
K04000001,England and Wales,-8,Does not apply,4,Europe: Other Europe: Rest of Europe,3,3. Associate professional and technical occupations,-8,Does not apply,0
K04000001,England and Wales,-8,Does not apply,4,Europe: Other Europe: Rest of Europe,3,3. Associate professional and technical occupations,1,Disabled under the Equality Act,0
K04000001,England and Wales,-8,Does not apply,4,Europe: Other Europe: Rest of Europe,3,3. Associate professional and technical occupations,2,Not disabled under the Equality Act,0
K04000001,England and Wales,-8,Does not apply,4,Europe: Other Europe: Rest of Europe,4,4. Administrative and secretarial occupations,-8,Does not apply,0
K04000001,England and Wales,-8,Does not apply,4,Europe: Other Europe: Rest of Europe,4,4. Administrative and secretarial occupations,1,Disabled under the Equality Act,0
K04000001,England and Wales,-8,Does not apply,4,Europe: Other Europe: Rest of Europe,4,4. Administrative and secretarial occupations,2,Not disabled under the Equality Act,0
K04000001,England and Wales,-8,Does not apply,4,Europe: Other Europe: Rest of Europe,5,5. Skilled trades occupations,-8,Does not apply,0
K04000001,England and Wales,-8,Does not apply,4,Europe: Other Europe: Rest of Europe,5,5. Skilled trades occupations,1,Disabled under the Equality Act,0
K04000001,England and Wales,-8,Does not apply,4,Europe: Other Europe: Rest of Europe,5,5. Skilled trades occupations,2,Not disabled under the Equality Act,0
K04000001,England and Wales,-8,Does not apply,4,Europe: Other Europe: Rest of Europe,6,"6. Caring, leisure and other service occupations",-8,Does not apply,0
K04000001,England and Wales,-8,Does not apply,4,Europe: Other Europe: Rest of Europe,6,"6. Caring, leisure and other service occupations",1,Disabled under the Equality Act,0
K04000001,England and Wales,-8,Does not apply,4,Europe: Other Europe: Rest of Europe,6,"6. Caring, leisure and other service occupations",2,Not disabled under the Equality Act,0
K04000001,England and Wales,-8,Does not apply,4,Europe: Other Europe: Rest of Europe,7,7. Sales and customer service occupations,-8,Does not apply,0
K04000001,England and Wales,-8,Does not apply,4,Europe: Other Europe: Rest of Europe,7,7. Sales and customer service occupations,1,Disabled under the Equality Act,0
K04000001,England and Wales,-8,Does not apply,4,Europe: Other Europe: Rest of Europe,7,7. Sales and customer service occupations,2,Not disabled under the Equality Act,0
K04000001,England and Wales,-8,Does not apply,4,Europe: Other Europe: Rest of Europe,8,"8. Process, plant and machine operatives",-8,Does not apply,0
K04000001,England and Wales,-8,Does not apply,4,Europe: Other Europe: Rest of Europe,8,"8. Process, plant and machine operatives",1,Disabled under the Equality Act,0
K04000001,England and Wales,-8,Does not apply,4,Europe: Other Europe: Rest of Europe,8,"8. Process, plant and machine operatives",2,Not disabled under the Equality Act,0
K04000001,England and Wales,-8,Does not apply,4,Europe: Other Europe: Rest of Europe,9,9. Elementary occupations,-8,Does not apply,0
K04000001,England and Wales,-8,Does not apply,4,Europe: Other Europe: Rest of Europe,9,9. Elementary occupations,1,Disabled under the Equality Act,0
K04000001,England and Wales,-8,Does not apply,4,Europe: Other Europe: Rest of Europe,9,9. Elementary occupations,2,Not disabled under the Equality Act,0
K04000001,England and Wales,-8,Does not apply,5,Africa: North Africa,-8,Does not apply,-8,Does not apply,0
K04000001,England and Wales,-8,Does not apply,5,Africa: North Africa,-8,Does not apply,1,Disabled under the Equality Act,323
K04000001,England and Wales,-8,Does not apply,5,Africa: North Africa,-8,Does not apply,2,Not disabled under the Equality Act,9879
K04000001,England and Wales,-8,Does not apply,5,Africa: North Africa,1,"1. Managers, directors and senior officials",-8,Does not apply,0
K04000001,England and Wales,-8,Does not apply,5,Africa: North Africa,1,"1. Managers, directors and senior officials",1,Disabled under the Equality Act,0
K04000001,England and Wales,-8,Does not apply,5,Africa: North Africa,1,"1. Managers, directors and senior officials",2,Not disabled under the Equality Act,0
K04000001,England and Wales,-8,Does not apply,5,Africa: North Africa,2,2. Professional occupations,-8,Does not apply,0
K04000001,England and Wales,-8,Does not apply,5,Africa: North Africa,2,2. Professional occupations,1,Disabled under the Equality Act,0
K04000001,England and Wales,-8,Does not apply,5,Africa: North Africa,2,2. Professional occupations,2,Not disabled under the Equality Act,0
K04000001,England and Wales,-8,Does not apply,5,Africa: North Africa,3,3. Associate professional and technical occupations,-8,Does not apply,0
K04000001,England and Wales,-8,Does not apply,5,Africa: North Africa,3,3. Associate professional and technical occupations,1,Disabled under the Equality Act,0
K04000001,England and Wales,-8,Does not apply,5,Africa: North Africa,3,3. Associate professional and technical occupations,2,Not disabled under the Equality Act,0
K04000001,England and Wales,-8,Does not apply,5,Africa: North Africa,4,4. Administrative and secretarial occupations,-8,Does not apply,0
K04000001,England and Wales,-8,Does not apply,5,Africa: North Africa,4,4. Administrative and secretarial occupations,1,Disabled under the Equality Act,0
K04000001,England and Wales,-8,Does not apply,5,Africa: North Africa,4,4. Administrative and secretarial occupations,2,Not disabled under the Equality Act,0
K04000001,England and Wales,-8,Does not apply,5,Africa: North Africa,5,5. Skilled trades occupations,-8,Does not apply,0
K04000001,England and Wales,-8,Does not apply,5,Africa: North Africa,5,5. Skilled trades occupations,1,Disabled under the Equality Act,0
K04000001,England and Wales,-8,Does not apply,5,Africa: North Africa,5,5. Skilled trades occupations,2,Not disabled under the Equality Act,0
K04000001,England and Wales,-8,Does not apply,5,Africa: North Africa,6,"6. Caring, leisure and other service occupations",-8,Does not apply,0
K04000001,England and Wales,-8,Does not apply,5,Africa: North Africa,6,"6. Caring, leisure and other service occupations",1,Disabled under the Equality Act,0
K04000001,England and Wales,-8,Does not apply,5,Africa: North Africa,6,"6. Caring, leisure and other service occupations",2,Not disabled under the Equality Act,0
K04000001,England and Wales,-8,Does not apply,5,Africa: North Africa,7,7. Sales and customer service occupations,-8,Does not apply,0
K04000001,England and Wales,-8,Does not apply,5,Africa: North Africa,7,7. Sales and customer service occupations,1,Disabled under the Equality Act,0
K04000001,England and Wales,-8,Does not apply,5,Africa: North Africa,7,7. Sales and customer service occupations,2,Not disabled under the Equality Act,0
K04000001,England and Wales,-8,Does not apply,5,Africa: North Africa,8,"8. Process, plant and machine operatives",-8,Does not apply,0
K04000001,England and Wales,-8,Does not apply,5,Africa: North Africa,8,"8. Process, plant and machine operatives",1,Disabled under the Equality Act,0
K04000001,England and Wales,-8,Does not apply,5,Africa: North Africa,8,"8. Process, plant and machine operatives",2,Not disabled under the Equality Act,0
K04000001,England and Wales,-8,Does not apply,5,Africa: North Africa,9,9. Elementary occupations,-8,Does not apply,0
K04000001,England and Wales,-8,Does not apply,5,Africa: North Africa,9,9. Elementary occupations,1,Disabled under the Equality Act,0
K04000001,England and Wales,-8,Does not apply,5,Africa: North Africa,9,9. Elementary occupations,2,Not disabled under the Equality Act,0
K04000001,England and Wales,-8,Does not apply,6,Africa: Central and Western Africa,-8,Does not apply,-8,Does not apply,0
K04000001,England and Wales,-8,Does not apply,6,Africa: Central and Western Africa,-8,Does not apply,1,Disabled under the Equality Act,538
K04000001,England and Wales,-8,Does not apply,6,Africa: Central and Western Africa,-8,Does not apply,2,Not disabled under the Equality Act,20926
K04000001,England and Wales,-8,Does not apply,6,Africa: Central and Western Africa,1,"1. Managers, directors and senior officials",-8,Does not apply,0
K04000001,England and Wales,-8,Does not apply,6,Africa: Central and Western Africa,1,"1. Managers, directors and senior officials",1,Disabled under the Equality Act,0
K04000001,England and Wales,-8,Does not apply,6,Africa: Central and Western Africa,1,"1. Managers, directors and senior officials",2,Not disabled under the Equality Act,0
K04000001,England and Wales,-8,Does not apply,6,Africa: Central and Western Africa,2,2. Professional occupations,-8,Does not apply,0
K04000001,England and Wales,-8,Does not apply,6,Africa: Central and Western Africa,2,2. Professional occupations,1,Disabled under the Equality Act,0
K04000001,England and Wales,-8,Does not apply,6,Africa: Central and Western Africa,2,2. Professional occupations,2,Not disabled under the Equality Act,0
K04000001,England and Wales,-8,Does not apply,6,Africa: Central and Western Africa,3,3. Associate professional and technical occupations,-8,Does not apply,0
K04000001,England and Wales,-8,Does not apply,6,Africa: Central and Western Africa,3,3. Associate professional and technical occupations,1,Disabled under the Equality Act,0
K04000001,England and Wales,-8,Does not apply,6,Africa: Central and Western Africa,3,3. Associate professional and technical occupations,2,Not disabled under the Equality Act,0
K04000001,England and Wales,-8,Does not apply,6,Africa: Central and Western Africa,4,4. Administrative and secretarial occupations,-8,Does not apply,0
K04000001,England and Wales,-8,Does not apply,6,Africa: Central and Western Africa,4,4. Administrative and secretarial occupations,1,Disabled under the Equality Act,0
K04000001,England and Wales,-8,Does not apply,6,Africa: Central and Western Africa,4,4. Administrative and secretarial occupations,2,Not disabled under the Equality Act,0
K04000001,England and Wales,-8,Does not apply,6,Africa: Central and Western Africa,5,5. Skilled trades occupations,-8,Does not apply,0
K04000001,England and Wales,-8,Does not apply,6,Africa: Central and Western Africa,5,5. Skilled trades occupations,1,Disabled under the Equality Act,0
K04000001,England and Wales,-8,Does not apply,6,Africa: Central and Western Africa,5,5. Skilled trades occupations,2,Not disabled under the Equality Act,0
K04000001,England and Wales,-8,Does not apply,6,Africa: Central and Western Africa,6,"6. Caring, leisure and other service occupations",-8,Does not apply,0
K04000001,England and Wales,-8,Does not apply,6,Africa: Central and Western Africa,6,"6. Caring, leisure and other service occupations",1,Disabled under the Equality Act,0
K04000001,England and Wales,-8,Does not apply,6,Africa: Central and Western Africa,6,"6. Caring, leisure and other service occupations",2,Not disabled under the Equality Act,0
K04000001,England and Wales,-8,Does not apply,6,Africa: Central and Western Africa,7,7. Sales and customer service occupations,-8,Does not apply,0
K04000001,England and Wales,-8,Does not apply,6,Africa: Central and Western Africa,7,7. Sales and customer service occupations,1,Disabled under the Equality Act,0
K04000001,England and Wales,-8,Does not apply,6,Africa: Central and Western Africa,7,7. Sales and customer service occupations,2,Not disabled under the Equality Act,0
K04000001,England and Wales,-8,Does not apply,6,Africa: Central and Western Africa,8,"8. Process, plant and machine operatives",-8,Does not apply,0
K04000001,England and Wales,-8,Does not apply,6,Africa: Central and Western Africa,8,"8. Process, plant and machine operatives",1,Disabled under the Equality Act,0
K04000001,England and Wales,-8,Does not apply,6,Africa: Central and Western Africa,8,"8. Process, plant and machine operatives",2,Not disabled under the Equality Act,0
K04000001,England and Wales,-8,Does not apply,6,Africa: Central and Western Africa,9,9. Elementary occupations,-8,Does not apply,0
K04000001,England and Wales,-8,Does not apply,6,Africa: Central and Western Africa,9,9. Elementary occupations,1,Disabled under the Equality Act,0
K04000001,England and Wales,-8,Does not apply,6,Africa: Central and Western Africa,9,9. Elementary occupations,2,Not disabled under the Equality Act,0
K04000001,England and Wales,-8,Does not apply,7,Africa: South and Eastern Africa,-8,Does not apply,-8,Does not apply,0
K04000001,England and Wales,-8,Does not apply,7,Africa: South and Eastern Africa,-8,Does not apply,1,Disabled under the Equality Act,422
K04000001,England and Wales,-8,Does not apply,7,Africa: South and Eastern Africa,-8,Does not apply,2,Not disabled under the Equality Act,12115
K04000001,England and Wales,-8,Does not apply,7,Africa: South and Eastern Africa,1,"1. Managers, directors and senior officials",-8,Does not apply,0
K04000001,England and Wales,-8,Does not apply,7,Africa: South and Eastern Africa,1,"1. Managers, directors and senior officials",1,Disabled under the Equality Act,0
K04000001,England and Wales,-8,Does not apply,7,Africa: South and Eastern Africa,1,"1. Managers, directors and senior officials",2,Not disabled under the Equality Act,0
