,Regions,Passports held (18 categories) Code,Passports held (18 categories),Disability (3 categories) Code,Disability (3 categories),Occupation (current) (10 categories) Code,Occupation (current) (10 categories),Observation
E12000006,East of England,17,No passport held,1,Disabled under the Equality Act,9,9. Elementary occupations,5494
E12000006,East of England,17,No passport held,2,Not disabled under the Equality Act,-8,Does not apply,452490
E12000006,East of England,17,No passport held,2,Not disabled under the Equality Act,1,"1. Managers, directors and senior officials",8969
E12000006,East of England,17,No passport held,2,Not disabled under the Equality Act,2,2. Professional occupations,9015
E12000006,East of England,17,No passport held,2,Not disabled under the Equality Act,3,3. Associate professional and technical occupations,9469
E12000006,East of England,17,No passport held,2,Not disabled under the Equality Act,4,4. Administrative and secretarial occupations,9559
E12000006,East of England,17,No passport held,2,Not disabled under the Equality Act,5,5. Skilled trades occupations,22296
E12000006,East of England,17,No passport held,2,Not disabled under the Equality Act,6,"6. Caring, leisure and other service occupations",17764
E12000006,East of England,17,No passport held,2,Not disabled under the Equality Act,7,7. Sales and customer service occupations,14835
E12000006,East of England,17,No passport held,2,Not disabled under the Equality Act,8,"8. Process, plant and machine operatives",16551
E12000006,East of England,17,No passport held,2,Not disabled under the Equality Act,9,9. Elementary occupations,30104
E12000007,London,-8,Does not apply,-8,Does not apply,-8,Does not apply,0
E12000007,London,-8,Does not apply,-8,Does not apply,1,"1. Managers, directors and senior officials",0
E12000007,London,-8,Does not apply,-8,Does not apply,2,2. Professional occupations,0
E12000007,London,-8,Does not apply,-8,Does not apply,3,3. Associate professional and technical occupations,0
E12000007,London,-8,Does not apply,-8,Does not apply,4,4. Administrative and secretarial occupations,0
E12000007,London,-8,Does not apply,-8,Does not apply,5,5. Skilled trades occupations,0
E12000007,London,-8,Does not apply,-8,Does not apply,6,"6. Caring, leisure and other service occupations",0
E12000007,London,-8,Does not apply,-8,Does not apply,7,7. Sales and customer service occupations,0
E12000007,London,-8,Does not apply,-8,Does not apply,8,"8. Process, plant and machine operatives",0
E12000007,London,-8,Does not apply,-8,Does not apply,9,9. Elementary occupations,0
E12000007,London,-8,Does not apply,1,Disabled under the Equality Act,-8,Does not apply,0
E12000007,London,-8,Does not apply,1,Disabled under the Equality Act,1,"1. Managers, directors and senior officials",0
E12000007,London,-8,Does not apply,1,Disabled under the Equality Act,2,2. Professional occupations,0
E12000007,London,-8,Does not apply,1,Disabled under the Equality Act,3,3. Associate professional and technical occupations,0
E12000007,London,-8,Does not apply,1,Disabled under the Equality Act,4,4. Administrative and secretarial occupations,0
E12000007,London,-8,Does not apply,1,Disabled under the Equality Act,5,5. Skilled trades occupations,0
E12000007,London,-8,Does not apply,1,Disabled under the Equality Act,6,"6. Caring, leisure and other service occupations",0
E12000007,London,-8,Does not apply,1,Disabled under the Equality Act,7,7. Sales and customer service occupations,0
E12000007,London,-8,Does not apply,1,Disabled under the Equality Act,8,"8. Process, plant and machine operatives",0
E12000007,London,-8,Does not apply,1,Disabled under the Equality Act,9,9. Elementary occupations,0
E12000007,London,-8,Does not apply,2,Not disabled under the Equality Act,-8,Does not apply,0
E12000007,London,-8,Does not apply,2,Not disabled under the Equality Act,1,"1. Managers, directors and senior officials",0
E12000007,London,-8,Does not apply,2,Not disabled under the Equality Act,2,2. Professional occupations,0
E12000007,London,-8,Does not apply,2,Not disabled under the Equality Act,3,3. Associate professional and technical occupations,0
E12000007,London,-8,Does not apply,2,Not disabled under the Equality Act,4,4. Administrative and secretarial occupations,0
E12000007,London,-8,Does not apply,2,Not disabled under the Equality Act,5,5. Skilled trades occupations,0
E12000007,London,-8,Does not apply,2,Not disabled under the Equality Act,6,"6. Caring, leisure and other service occupations",0
E12000007,London,-8,Does not apply,2,Not disabled under the Equality Act,7,7. Sales and customer service occupations,0
E12000007,London,-8,Does not apply,2,Not disabled under the Equality Act,8,"8. Process, plant and machine operatives",0
E12000007,London,-8,Does not apply,2,Not disabled under the Equality Act,9,9. Elementary occupations,0
E12000007,London,1,Europe: United Kingdom,-8,Does not apply,-8,Does not apply,0
E12000007,London,1,Europe: United Kingdom,-8,Does not apply,1,"1. Managers, directors and senior officials",0
E12000007,London,1,Europe: United Kingdom,-8,Does not apply,2,2. Professional occupations,0
E12000007,London,1,Europe: United Kingdom,-8,Does not apply,3,3. Associate professional and technical occupations,0
E12000007,London,1,Europe: United Kingdom,-8,Does not apply,4,4. Administrative and secretarial occupations,0
E12000007,London,1,Europe: United Kingdom,-8,Does not apply,5,5. Skilled trades occupations,0
E12000007,London,1,Europe: United Kingdom,-8,Does not apply,6,"6. Caring, leisure and other service occupations",0
E12000007,London,1,Europe: United Kingdom,-8,Does not apply,7,7. Sales and customer service occupations,0
E12000007,London,1,Europe: United Kingdom,-8,Does not apply,8,"8. Process, plant and machine operatives",0
E12000007,London,1,Europe: United Kingdom,-8,Does not apply,9,9. Elementary occupations,0
E12000007,London,1,Europe: United Kingdom,1,Disabled under the Equality Act,-8,Does not apply,608438
E12000007,London,1,Europe: United Kingdom,1,Disabled under the Equality Act,1,"1. Managers, directors and senior officials",30750
E12000007,London,1,Europe: United Kingdom,1,Disabled under the Equality Act,2,2. Professional occupations,61469
E12000007,London,1,Europe: United Kingdom,1,Disabled under the Equality Act,3,3. Associate professional and technical occupations,43094
E12000007,London,1,Europe: United Kingdom,1,Disabled under the Equality Act,4,4. Administrative and secretarial occupations,28000
E12000007,London,1,Europe: United Kingdom,1,Disabled under the Equality Act,5,5. Skilled trades occupations,14615
E12000007,London,1,Europe: United Kingdom,1,Disabled under the Equality Act,6,"6. Caring, leisure and other service occupations",23570
E12000007,London,1,Europe: United Kingdom,1,Disabled under the Equality Act,7,7. Sales and customer service occupations,19667
E12000007,London,1,Europe: United Kingdom,1,Disabled under the Equality Act,8,"8. Process, plant and machine operatives",10414
E12000007,London,1,Europe: United Kingdom,1,Disabled under the Equality Act,9,9. Elementary occupations,19175
E12000007,London,1,Europe: United Kingdom,2,Not disabled under the Equality Act,-8,Does not apply,2555944
E12000007,London,1,Europe: United Kingdom,2,Not disabled under the Equality Act,1,"1. Managers, directors and senior officials",442258
E12000007,London,1,Europe: United Kingdom,2,Not disabled under the Equality Act,2,2. Professional occupations,781916
E12000007,London,1,Europe: United Kingdom,2,Not disabled under the Equality Act,3,3. Associate professional and technical occupations,470632
E12000007,London,1,Europe: United Kingdom,2,Not disabled under the Equality Act,4,4. Administrative and secretarial occupations,263119
E12000007,London,1,Europe: United Kingdom,2,Not disabled under the Equality Act,5,5. Skilled trades occupations,162959
E12000007,London,1,Europe: United Kingdom,2,Not disabled under the Equality Act,6,"6. Caring, leisure and other service occupations",198701
E12000007,London,1,Europe: United Kingdom,2,Not disabled under the Equality Act,7,7. Sales and customer service occupations,173153
E12000007,London,1,Europe: United Kingdom,2,Not disabled under the Equality Act,8,"8. Process, plant and machine operatives",128655
E12000007,London,1,Europe: United Kingdom,2,Not disabled under the Equality Act,9,9. Elementary occupations,167816
E12000007,London,2,Europe: Ireland,-8,Does not apply,-8,Does not apply,0
E12000007,London,2,Europe: Ireland,-8,Does not apply,1,"1. Managers, directors and senior officials",0
E12000007,London,2,Europe: Ireland,-8,Does not apply,2,2. Professional occupations,0
E12000007,London,2,Europe: Ireland,-8,Does not apply,3,3. Associate professional and technical occupations,0
E12000007,London,2,Europe: Ireland,-8,Does not apply,4,4. Administrative and secretarial occupations,0
E12000007,London,2,Europe: Ireland,-8,Does not apply,5,5. Skilled trades occupations,0
E12000007,London,2,Europe: Ireland,-8,Does not apply,6,"6. Caring, leisure and other service occupations",0
E12000007,London,2,Europe: Ireland,-8,Does not apply,7,7. Sales and customer service occupations,0
E12000007,London,2,Europe: Ireland,-8,Does not apply,8,"8. Process, plant and machine operatives",0
E12000007,London,2,Europe: Ireland,-8,Does not apply,9,9. Elementary occupations,0
E12000007,London,2,Europe: Ireland,1,Disabled under the Equality Act,-8,Does not apply,15674
E12000007,London,2,Europe: Ireland,1,Disabled under the Equality Act,1,"1. Managers, directors and senior officials",644
E12000007,London,2,Europe: Ireland,1,Disabled under the Equality Act,2,2. Professional occupations,1443
E12000007,London,2,Europe: Ireland,1,Disabled under the Equality Act,3,3. Associate professional and technical occupations,785
E12000007,London,2,Europe: Ireland,1,Disabled under the Equality Act,4,4. Administrative and secretarial occupations,469
E12000007,London,2,Europe: Ireland,1,Disabled under the Equality Act,5,5. Skilled trades occupations,380
E12000007,London,2,Europe: Ireland,1,Disabled under the Equality Act,6,"6. Caring, leisure and other service occupations",382
E12000007,London,2,Europe: Ireland,1,Disabled under the Equality Act,7,7. Sales and customer service occupations,246
E12000007,London,2,Europe: Ireland,1,Disabled under the Equality Act,8,"8. Process, plant and machine operatives",162
E12000007,London,2,Europe: Ireland,1,Disabled under the Equality Act,9,9. Elementary occupations,321
E12000007,London,2,Europe: Ireland,2,Not disabled under the Equality Act,-8,Does not apply,37168
E12000007,London,2,Europe: Ireland,2,Not disabled under the Equality Act,1,"1. Managers, directors and senior officials",11394
E12000007,London,2,Europe: Ireland,2,Not disabled under the Equality Act,2,2. Professional occupations,22134
E12000007,London,2,Europe: Ireland,2,Not disabled under the Equality Act,3,3. Associate professional and technical occupations,10201
E12000007,London,2,Europe: Ireland,2,Not disabled under the Equality Act,4,4. Administrative and secretarial occupations,4738
E12000007,London,2,Europe: Ireland,2,Not disabled under the Equality Act,5,5. Skilled trades occupations,4307
E12000007,London,2,Europe: Ireland,2,Not disabled under the Equality Act,6,"6. Caring, leisure and other service occupations",3185
E12000007,London,2,Europe: Ireland,2,Not disabled under the Equality Act,7,7. Sales and customer service occupations,1785
E12000007,London,2,Europe: Ireland,2,Not disabled under the Equality Act,8,"8. Process, plant and machine operatives",1965
E12000007,London,2,Europe: Ireland,2,Not disabled under the Equality Act,9,9. Elementary occupations,2621
E12000007,London,3,Europe: Other Europe: EU Member countries,-8,Does not apply,-8,Does not apply,0
E12000007,London,3,Europe: Other Europe: EU Member countries,-8,Does not apply,1,"1. Managers, directors and senior officials",0
E12000007,London,3,Europe: Other Europe: EU Member countries,-8,Does not apply,2,2. Professional occupations,0
E12000007,London,3,Europe: Other Europe: EU Member countries,-8,Does not apply,3,3. Associate professional and technical occupations,0
E12000007,London,3,Europe: Other Europe: EU Member countries,-8,Does not apply,4,4. Administrative and secretarial occupations,0
E12000007,London,3,Europe: Other Europe: EU Member countries,-8,Does not apply,5,5. Skilled trades occupations,0
E12000007,London,3,Europe: Other Europe: EU Member countries,-8,Does not apply,6,"6. Caring, leisure and other service occupations",0
E12000007,London,3,Europe: Other Europe: EU Member countries,-8,Does not apply,7,7. Sales and customer service occupations,0
E12000007,London,3,Europe: Other Europe: EU Member countries,-8,Does not apply,8,"8. Process, plant and machine operatives",0
E12000007,London,3,Europe: Other Europe: EU Member countries,-8,Does not apply,9,9. Elementary occupations,0
E12000007,London,3,Europe: Other Europe: EU Member countries,1,Disabled under the Equality Act,-8,Does not apply,40154
E12000007,London,3,Europe: Other Europe: EU Member countries,1,Disabled under the Equality Act,1,"1. Managers, directors and senior officials",2587
E12000007,London,3,Europe: Other Europe: EU Member countries,1,Disabled under the Equality Act,2,2. Professional occupations,5144
E12000007,London,3,Europe: Other Europe: EU Member countries,1,Disabled under the Equality Act,3,3. Associate professional and technical occupations,3809
E12000007,London,3,Europe: Other Europe: EU Member countries,1,Disabled under the Equality Act,4,4. Administrative and secretarial occupations,2098
E12000007,London,3,Europe: Other Europe: EU Member countries,1,Disabled under the Equality Act,5,5. Skilled trades occupations,3082
E12000007,London,3,Europe: Other Europe: EU Member countries,1,Disabled under the Equality Act,6,"6. Caring, leisure and other service occupations",2876
E12000007,London,3,Europe: Other Europe: EU Member countries,1,Disabled under the Equality Act,7,7. Sales and customer service occupations,2347
E12000007,London,3,Europe: Other Europe: EU Member countries,1,Disabled under the Equality Act,8,"8. Process, plant and machine operatives",1660
E12000007,London,3,Europe: Other Europe: EU Member countries,1,Disabled under the Equality Act,9,9. Elementary occupations,6098
E12000007,London,3,Europe: Other Europe: EU Member countries,2,Not disabled under the Equality Act,-8,Does not apply,378367
E12000007,London,3,Europe: Other Europe: EU Member countries,2,Not disabled under the Equality Act,1,"1. Managers, directors and senior officials",81265
E12000007,London,3,Europe: Other Europe: EU Member countries,2,Not disabled under the Equality Act,2,2. Professional occupations,126194
E12000007,London,3,Europe: Other Europe: EU Member countries,2,Not disabled under the Equality Act,3,3. Associate professional and technical occupations,81300
E12000007,London,3,Europe: Other Europe: EU Member countries,2,Not disabled under the Equality Act,4,4. Administrative and secretarial occupations,41610
E12000007,London,3,Europe: Other Europe: EU Member countries,2,Not disabled under the Equality Act,5,5. Skilled trades occupations,103309
E12000007,London,3,Europe: Other Europe: EU Member countries,2,Not disabled under the Equality Act,6,"6. Caring, leisure and other service occupations",56011
E12000007,London,3,Europe: Other Europe: EU Member countries,2,Not disabled under the Equality Act,7,7. Sales and customer service occupations,42857
E12000007,London,3,Europe: Other Europe: EU Member countries,2,Not disabled under the Equality Act,8,"8. Process, plant and machine operatives",50621
E12000007,London,3,Europe: Other Europe: EU Member countries,2,Not disabled under the Equality Act,9,9. Elementary occupations,137933
E12000007,London,4,Europe: Other Europe: Rest of Europe,-8,Does not apply,-8,Does not apply,0
E12000007,London,4,Europe: Other Europe: Rest of Europe,-8,Does not apply,1,"1. Managers, directors and senior officials",0
E12000007,London,4,Europe: Other Europe: Rest of Europe,-8,Does not apply,2,2. Professional occupations,0
E12000007,London,4,Europe: Other Europe: Rest of Europe,-8,Does not apply,3,3. Associate professional and technical occupations,0
E12000007,London,4,Europe: Other Europe: Rest of Europe,-8,Does not apply,4,4. Administrative and secretarial occupations,0
E12000007,London,4,Europe: Other Europe: Rest of Europe,-8,Does not apply,5,5. Skilled trades occupations,0
E12000007,London,4,Europe: Other Europe: Rest of Europe,-8,Does not apply,6,"6. Caring, leisure and other service occupations",0
E12000007,London,4,Europe: Other Europe: Rest of Europe,-8,Does not apply,7,7. Sales and customer service occupations,0
E12000007,London,4,Europe: Other Europe: Rest of Europe,-8,Does not apply,8,"8. Process, plant and machine operatives",0
E12000007,London,4,Europe: Other Europe: Rest of Europe,-8,Does not apply,9,9. Elementary occupations,0
E12000007,London,4,Europe: Other Europe: Rest of Europe,1,Disabled under the Equality Act,-8,Does not apply,3009
E12000007,London,4,Europe: Other Europe: Rest of Europe,1,Disabled under the Equality Act,1,"1. Managers, directors and senior officials",254
E12000007,London,4,Europe: Other Europe: Rest of Europe,1,Disabled under the Equality Act,2,2. Professional occupations,459
E12000007,London,4,Europe: Other Europe: Rest of Europe,1,Disabled under the Equality Act,3,3. Associate professional and technical occupations,282
E12000007,London,4,Europe: Other Europe: Rest of Europe,1,Disabled under the Equality Act,4,4. Administrative and secretarial occupations,88
E12000007,London,4,Europe: Other Europe: Rest of Europe,1,Disabled under the Equality Act,5,5. Skilled trades occupations,156
E12000007,London,4,Europe: Other Europe: Rest of Europe,1,Disabled under the Equality Act,6,"6. Caring, leisure and other service occupations",114
E12000007,London,4,Europe: Other Europe: Rest of Europe,1,Disabled under the Equality Act,7,7. Sales and customer service occupations,112
E12000007,London,4,Europe: Other Europe: Rest of Europe,1,Disabled under the Equality Act,8,"8. Process, plant and machine operatives",49
E12000007,London,4,Europe: Other Europe: Rest of Europe,1,Disabled under the Equality Act,9,9. Elementary occupations,216
E12000007,London,4,Europe: Other Europe: Rest of Europe,2,Not disabled under the Equality Act,-8,Does not apply,31809
E12000007,London,4,Europe: Other Europe: Rest of Europe,2,Not disabled under the Equality Act,1,"1. Managers, directors and senior officials",8017
E12000007,London,4,Europe: Other Europe: Rest of Europe,2,Not disabled under the Equality Act,2,2. Professional occupations,11481
E12000007,London,4,Europe: Other Europe: Rest of Europe,2,Not disabled under the Equality Act,3,3. Associate professional and technical occupations,5954
E12000007,London,4,Europe: Other Europe: Rest of Europe,2,Not disabled under the Equality Act,4,4. Administrative and secretarial occupations,2487
E12000007,London,4,Europe: Other Europe: Rest of Europe,2,Not disabled under the Equality Act,5,5. Skilled trades occupations,6577
E12000007,London,4,Europe: Other Europe: Rest of Europe,2,Not disabled under the Equality Act,6,"6. Caring, leisure and other service occupations",2336
E12000007,London,4,Europe: Other Europe: Rest of Europe,2,Not disabled under the Equality Act,7,7. Sales and customer service occupations,2090
E12000007,London,4,Europe: Other Europe: Rest of Europe,2,Not disabled under the Equality Act,8,"8. Process, plant and machine operatives",1791
E12000007,London,4,Europe: Other Europe: Rest of Europe,2,Not disabled under the Equality Act,9,9. Elementary occupations,4828
E12000007,London,5,Africa: North Africa,-8,Does not apply,-8,Does not apply,0
E12000007,London,5,Africa: North Africa,-8,Does not apply,1,"1. Managers, directors and senior officials",0
E12000007,London,5,Africa: North Africa,-8,Does not apply,2,2. Professional occupations,0
E12000007,London,5,Africa: North Africa,-8,Does not apply,3,3. Associate professional and technical occupations,0
E12000007,London,5,Africa: North Africa,-8,Does not apply,4,4. Administrative and secretarial occupations,0
E12000007,London,5,Africa: North Africa,-8,Does not apply,5,5. Skilled trades occupations,0
E12000007,London,5,Africa: North Africa,-8,Does not apply,6,"6. Caring, leisure and other service occupations",0
E12000007,London,5,Africa: North Africa,-8,Does not apply,7,7. Sales and customer service occupations,0
E12000007,London,5,Africa: North Africa,-8,Does not apply,8,"8. Process, plant and machine operatives",0
E12000007,London,5,Africa: North Africa,-8,Does not apply,9,9. Elementary occupations,0
E12000007,London,5,Africa: North Africa,1,Disabled under the Equality Act,-8,Does not apply,1243
E12000007,London,5,Africa: North Africa,1,Disabled under the Equality Act,1,"1. Managers, directors and senior officials",60
E12000007,London,5,Africa: North Africa,1,Disabled under the Equality Act,2,2. Professional occupations,64
E12000007,London,5,Africa: North Africa,1,Disabled under the Equality Act,3,3. Associate professional and technical occupations,34
E12000007,London,5,Africa: North Africa,1,Disabled under the Equality Act,4,4. Administrative and secretarial occupations,26
E12000007,London,5,Africa: North Africa,1,Disabled under the Equality Act,5,5. Skilled trades occupations,50
E12000007,London,5,Africa: North Africa,1,Disabled under the Equality Act,6,"6. Caring, leisure and other service occupations",37
E12000007,London,5,Africa: North Africa,1,Disabled under the Equality Act,7,7. Sales and customer service occupations,41
E12000007,London,5,Africa: North Africa,1,Disabled under the Equality Act,8,"8. Process, plant and machine operatives",34
E12000007,London,5,Africa: North Africa,1,Disabled under the Equality Act,9,9. Elementary occupations,54
E12000007,London,5,Africa: North Africa,2,Not disabled under the Equality Act,-8,Does not apply,8244
E12000007,London,5,Africa: North Africa,2,Not disabled under the Equality Act,1,"1. Managers, directors and senior officials",729
E12000007,London,5,Africa: North Africa,2,Not disabled under the Equality Act,2,2. Professional occupations,1683
E12000007,London,5,Africa: North Africa,2,Not disabled under the Equality Act,3,3. Associate professional and technical occupations,644
E12000007,London,5,Africa: North Africa,2,Not disabled under the Equality Act,4,4. Administrative and secretarial occupations,291
E12000007,London,5,Africa: North Africa,2,Not disabled under the Equality Act,5,5. Skilled trades occupations,747
E12000007,London,5,Africa: North Africa,2,Not disabled under the Equality Act,6,"6. Caring, leisure and other service occupations",459
E12000007,London,5,Africa: North Africa,2,Not disabled under the Equality Act,7,7. Sales and customer service occupations,404
E12000007,London,5,Africa: North Africa,2,Not disabled under the Equality Act,8,"8. Process, plant and machine operatives",518
E12000007,London,5,Africa: North Africa,2,Not disabled under the Equality Act,9,9. Elementary occupations,954
E12000007,London,6,Africa: Central and Western Africa,-8,Does not apply,-8,Does not apply,0
E12000007,London,6,Africa: Central and Western Africa,-8,Does not apply,1,"1. Managers, directors and senior officials",0
E12000007,London,6,Africa: Central and Western Africa,-8,Does not apply,2,2. Professional occupations,0
E12000007,London,6,Africa: Central and Western Africa,-8,Does not apply,3,3. Associate professional and technical occupations,0
E12000007,London,6,Africa: Central and Western Africa,-8,Does not apply,4,4. Administrative and secretarial occupations,0
E12000007,London,6,Africa: Central and Western Africa,-8,Does not apply,5,5. Skilled trades occupations,0
E12000007,London,6,Africa: Central and Western Africa,-8,Does not apply,6,"6. Caring, leisure and other service occupations",0
E12000007,London,6,Africa: Central and Western Africa,-8,Does not apply,7,7. Sales and customer service occupations,0
E12000007,London,6,Africa: Central and Western Africa,-8,Does not apply,8,"8. Process, plant and machine operatives",0
E12000007,London,6,Africa: Central and Western Africa,-8,Does not apply,9,9. Elementary occupations,0
E12000007,London,6,Africa: Central and Western Africa,1,Disabled under the Equality Act,-8,Does not apply,4124
E12000007,London,6,Africa: Central and Western Africa,1,Disabled under the Equality Act,1,"1. Managers, directors and senior officials",96
E12000007,London,6,Africa: Central and Western Africa,1,Disabled under the Equality Act,2,2. Professional occupations,205
E12000007,London,6,Africa: Central and Western Africa,1,Disabled under the Equality Act,3,3. Associate professional and technical occupations,171
E12000007,London,6,Africa: Central and Western Africa,1,Disabled under the Equality Act,4,4. Administrative and secretarial occupations,89
E12000007,London,6,Africa: Central and Western Africa,1,Disabled under the Equality Act,5,5. Skilled trades occupations,70
E12000007,London,6,Africa: Central and Western Africa,1,Disabled under the Equality Act,6,"6. Caring, leisure and other service occupations",604
E12000007,London,6,Africa: Central and Western Africa,1,Disabled under the Equality Act,7,7. Sales and customer service occupations,128
E12000007,London,6,Africa: Central and Western Africa,1,Disabled under the Equality Act,8,"8. Process, plant and machine operatives",69
E12000007,London,6,Africa: Central and Western Africa,1,Disabled under the Equality Act,9,9. Elementary occupations,433
E12000007,London,6,Africa: Central and Western Africa,2,Not disabled under the Equality Act,-8,Does not apply,26649
E12000007,London,6,Africa: Central and Western Africa,2,Not disabled under the Equality Act,1,"1. Managers, directors and senior officials",2641
E12000007,London,6,Africa: Central and Western Africa,2,Not disabled under the Equality Act,2,2. Professional occupations,5214
E12000007,London,6,Africa: Central and Western Africa,2,Not disabled under the Equality Act,3,3. Associate professional and technical occupations,3264
E12000007,London,6,Africa: Central and Western Africa,2,Not disabled under the Equality Act,4,4. Administrative and secretarial occupations,1927
E12000007,London,6,Africa: Central and Western Africa,2,Not disabled under the Equality Act,5,5. Skilled trades occupations,1897
E12000007,London,6,Africa: Central and Western Africa,2,Not disabled under the Equality Act,6,"6. Caring, leisure and other service occupations",11851
E12000007,London,6,Africa: Central and Western Africa,2,Not disabled under the Equality Act,7,7. Sales and customer service occupations,2653
E12000007,London,6,Africa: Central and Western Africa,2,Not disabled under the Equality Act,8,"8. Process, plant and machine operatives",2208
E12000007,London,6,Africa: Central and Western Africa,2,Not disabled under the Equality Act,9,9. Elementary occupations,9470
E12000007,London,7,Africa: South and Eastern Africa,-8,Does not apply,-8,Does not apply,0
E12000007,London,7,Africa: South and Eastern Africa,-8,Does not apply,1,"1. Managers, directors and senior officials",0
E12000007,London,7,Africa: South and Eastern Africa,-8,Does not apply,2,2. Professional occupations,0
E12000007,London,7,Africa: South and Eastern Africa,-8,Does not apply,3,3. Associate professional and technical occupations,0
E12000007,London,7,Africa: South and Eastern Africa,-8,Does not apply,4,4. Administrative and secretarial occupations,0
E12000007,London,7,Africa: South and Eastern Africa,-8,Does not apply,5,5. Skilled trades occupations,0
E12000007,London,7,Africa: South and Eastern Africa,-8,Does not apply,6,"6. Caring, leisure and other service occupations",0
E12000007,London,7,Africa: South and Eastern Africa,-8,Does not apply,7,7. Sales and customer service occupations,0
E12000007,London,7,Africa: South and Eastern Africa,-8,Does not apply,8,"8. Process, plant and machine operatives",0
E12000007,London,7,Africa: South and Eastern Africa,-8,Does not apply,9,9. Elementary occupations,0
E12000007,London,7,Africa: South and Eastern Africa,1,Disabled under the Equality Act,-8,Does not apply,1926
E12000007,London,7,Africa: South and Eastern Africa,1,Disabled under the Equality Act,1,"1. Managers, directors and senior officials",117
E12000007,London,7,Africa: South and Eastern Africa,1,Disabled under the Equality Act,2,2. Professional occupations,256
E12000007,London,7,Africa: South and Eastern Africa,1,Disabled under the Equality Act,3,3. Associate professional and technical occupations,141
E12000007,London,7,Africa: South and Eastern Africa,1,Disabled under the Equality Act,4,4. Administrative and secretarial occupations,97
E12000007,London,7,Africa: South and Eastern Africa,1,Disabled under the Equality Act,5,5. Skilled trades occupations,55
E12000007,London,7,Africa: South and Eastern Africa,1,Disabled under the Equality Act,6,"6. Caring, leisure and other service occupations",212
E12000007,London,7,Africa: South and Eastern Africa,1,Disabled under the Equality Act,7,7. Sales and customer service occupations,79
E12000007,London,7,Africa: South and Eastern Africa,1,Disabled under the Equality Act,8,"8. Process, plant and machine operatives",38
E12000007,London,7,Africa: South and Eastern Africa,1,Disabled under the Equality Act,9,9. Elementary occupations,89
E12000007,London,7,Africa: South and Eastern Africa,2,Not disabled under the Equality Act,-8,Does not apply,9837
E12000007,London,7,Africa: South and Eastern Africa,2,Not disabled under the Equality Act,1,"1. Managers, directors and senior officials",2705
E12000007,London,7,Africa: South and Eastern Africa,2,Not disabled under the Equality Act,2,2. Professional occupations,5561
E12000007,London,7,Africa: South and Eastern Africa,2,Not disabled under the Equality Act,3,3. Associate professional and technical occupations,2857
E12000007,London,7,Africa: South and Eastern Africa,2,Not disabled under the Equality Act,4,4. Administrative and secretarial occupations,1446
E12000007,London,7,Africa: South and Eastern Africa,2,Not disabled under the Equality Act,5,5. Skilled trades occupations,877
E12000007,London,7,Africa: South and Eastern Africa,2,Not disabled under the Equality Act,6,"6. Caring, leisure and other service occupations",2984
E12000007,London,7,Africa: South and Eastern Africa,2,Not disabled under the Equality Act,7,7. Sales and customer service occupations,936
E12000007,London,7,Africa: South and Eastern Africa,2,Not disabled under the Equality Act,8,"8. Process, plant and machine operatives",706
E12000007,London,7,Africa: South and Eastern Africa,2,Not disabled under the Equality Act,9,9. Elementary occupations,1451
E12000007,London,8,Middle East and Asia: Middle East,-8,Does not apply,-8,Does not apply,0
E12000007,London,8,Middle East and Asia: Middle East,-8,Does not apply,1,"1. Managers, directors and senior officials",0
E12000007,London,8,Middle East and Asia: Middle East,-8,Does not apply,2,2. Professional occupations,0
E12000007,London,8,Middle East and Asia: Middle East,-8,Does not apply,3,3. Associate professional and technical occupations,0
E12000007,London,8,Middle East and Asia: Middle East,-8,Does not apply,4,4. Administrative and secretarial occupations,0
E12000007,London,8,Middle East and Asia: Middle East,-8,Does not apply,5,5. Skilled trades occupations,0
E12000007,London,8,Middle East and Asia: Middle East,-8,Does not apply,6,"6. Caring, leisure and other service occupations",0
E12000007,London,8,Middle East and Asia: Middle East,-8,Does not apply,7,7. Sales and customer service occupations,0
E12000007,London,8,Middle East and Asia: Middle East,-8,Does not apply,8,"8. Process, plant and machine operatives",0
E12000007,London,8,Middle East and Asia: Middle East,-8,Does not apply,9,9. Elementary occupations,0
E12000007,London,8,Middle East and Asia: Middle East,1,Disabled under the Equality Act,-8,Does not apply,1697
E12000007,London,8,Middle East and Asia: Middle East,1,Disabled under the Equality Act,1,"1. Managers, directors and senior officials",64
E12000007,London,8,Middle East and Asia: Middle East,1,Disabled under the Equality Act,2,2. Professional occupations,111
E12000007,London,8,Middle East and Asia: Middle East,1,Disabled under the Equality Act,3,3. Associate professional and technical occupations,53
E12000007,London,8,Middle East and Asia: Middle East,1,Disabled under the Equality Act,4,4. Administrative and secretarial occupations,27
E12000007,London,8,Middle East and Asia: Middle East,1,Disabled under the Equality Act,5,5. Skilled trades occupations,29
E12000007,London,8,Middle East and Asia: Middle East,1,Disabled under the Equality Act,6,"6. Caring, leisure and other service occupations",26
E12000007,London,8,Middle East and Asia: Middle East,1,Disabled under the Equality Act,7,7. Sales and customer service occupations,30
E12000007,London,8,Middle East and Asia: Middle East,1,Disabled under the Equality Act,8,"8. Process, plant and machine operatives",21
E12000007,London,8,Middle East and Asia: Middle East,1,Disabled under the Equality Act,9,9. Elementary occupations,28
E12000007,London,8,Middle East and Asia: Middle East,2,Not disabled under the Equality Act,-8,Does not apply,12014
E12000007,London,8,Middle East and Asia: Middle East,2,Not disabled under the Equality Act,1,"1. Managers, directors and senior officials",1558
